"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce"
1,15,22,162,2,38,6,18,139,0,24,82,10
3,9,39,160,5,64,2,18,121,0,24,62,10
5,8,43,187,5,46,8,27,92,2,14,71,14
7,9,26,164,8,57,8,15,153,0,16,74,11
9,13,37,187,11,57,1,17,115,0,24,75,12
11,10,38,151,5,50,2,11,112,2,18,93,11
13,21,26,191,9,49,5,28,113,3,36,73,6
15,14,46,187,6,26,2,17,141,2,27,77,11
17,14,32,199,11,50,0,14,124,2,38,65,13
19,11,43,207,11,44,3,17,98,0,28,83,10
21,7,49,194,11,57,2,12,107,2,23,71,21
23,11,26,187,9,61,2,20,122,1,23,85,13.5
25,5,29,194,11,63,5,17,98,1,22,82,12
27,9,46,164,12,47,3,25,103,0,22,100,11
29,14,40,162,10,46,8,15,92,0,18,96,8
31,10,34,188,11,47,3,12,115,2,26,79,22
33,7,38,179,6,40,3,24,106,0,23,100,18
35,13,43,144,12,60,0,22,116,0,18,106,12.5
37,8,44,138,3,98,5,14,80,2,16,117,21.5
39,11,38,125,15,89,5,23,175,0,16,109,10.5
41,14,65,90,11,95,5,28,104,0,26,82,10
43,7,50,129,20,95,3,12,96,2,20,93,19
45,9,67,151,5,87,5,8,101,2,14,86,17
47,10,69,104,17,95,5,15,107,0,25,54,21
49,9,61,133,5,118,3,13,95,0,17,79,14
51,8,67,138,3,92,8,14,115,2,24,61,9
53,7,60,147,8,96,5,18,92,0,20,66,16
55,11,58,132,11,113,2,10,99,0,16,63,39
57,15,63,121,12,115,0,22,90,2,12,75,11
59,9,64,130,12,122,0,17,75,0,25,42,21
61,13,61,147,6,93,9,11,92,0,14,93,18
63,5,93,113,6,84,6,8,73,1,26,75,26.5
65,13,78,181,0,77,2,18,73,0,37,59,21.5
67,14,81,138,8,115,5,8,80,1,17,74,25.5
69,8,89,132,8,142,3,17,66,1,18,59,30
71,11,92,125,6,122,9,11,69,3,11,63,19
73,12,107,115,3,115,0,20,52,0,15,54,34
75,12,67,115,9,118,3,23,54,0,10,77,26.5
77,17,110,104,5,107,3,22,63,0,17,59,13.5
79,3,122,96,2,124,5,6,64,2,10,54,35.5
81,10,107,129,12,98,6,15,84,1,20,57,19.5
83,11,113,109,3,115,3,14,80,1,17,45,23.5
85,10,119,107,3,114,2,9,65,0,18,59,20
87,8,104,128,5,110,6,10,70,0,17,45,20.5
89,12,98,93,6,116,3,17,78,0,8,59,35.5
91,9,116,115,3,119,11,13,64,0,10,48,24.5
93,5,86,88,6,166,6,8,91,1,6,39,24.5
102,7,110,88,2,147,5,21,78,0,13,46,12
104,7,119,86,2,141,5,17,70,0,10,44,18.5
106,6,102,84,3,119,6,23,76,0,22,50,39
108,3,112,82,0,149,5,14,78,0,23,47,18
110,14,110,83,3,129,6,11,90,1,14,46,26
112,5,132,98,5,114,10,15,78,1,17,26,20.5
114,6,99,110,6,116,6,10,93,0,19,43,18
116,10,110,104,7,113,3,16,75,0,18,42,33
118,7,113,92,5,150,2,14,63,0,19,43,28
