"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
145,36,90,63,2,115,25,22,69,4,53,48,20,13
155,23,80,49,1,112,28,20,75,6,51,34,31,4
165,26,86,52,1,73,21,45,70,1,39,49,22,2
175,23,84,57,0,98,20,34,62,3,43,68,25,2
195,21,133,31,0,69,15,23,63,3,14,118,0,17
225,17,106,36,0,118,9,16,62,2,23,71,2,9
235,9,140,30,0,100,31,14,69,4,26,81,2,4
254,18,153,41,0,39,18,13,45,1,37,89,3,47
265,28,104,73,1,33,20,21,79,3,43,96,6,2
278.5,23,125,54,0,40,38,18,59,1,41,92,13,6
285,48,66,39,0,31,31,27,107,5,60,92,4,1
298,33,91,43,1,26,47,15,113,5,66,73,3,5
305,22,87,39,0,29,34,23,115,6,69,60,9,16
325,39,123,63,0,26,38,33,117,1,62,14,6,14
335,35,111,66,0,33,45,26,67,3,72,26,7,16
345,10,145,73,0,74,32,18,95,2,56,21,5,4
354,34,116,61,0,142,24,26,58,3,48,30,14,9
365,27,96,46,0,149,16,22,77,0,32,24,4,13
373.5,24,88,51,0,134,29,25,100,1,45,13,6,14
385,31,108,38,0,104,26,20,82,6,47,9,7,12
405,24,123,36,0,112,40,20,65,1,44,22,6,5
425,13,134,41,0,152,21,19,41,1,51,30,11,18
435,26,90,30,0,134,22,30,72,3,58,28,8,12
445,19,117,41,0,160,28,16,62,1,35,22,5,9
455,23,105,46,0,150,22,22,59,2,53,28,4,11
465,16,137,34,0,167,32,14,38,6,41,17,16,9
474,21,146,39,0,118,31,15,75,1,41,32,4,13
485,12,128,28,0,149,24,18,49,3,38,42,11,11
493.5,17,95,31,3,183,26,5,68,0,42,37,6,9
530,36,81,33,0,156,6,10,84,0,45,50,2,10
540,23,82,34,0,156,4,19,11,2,48,42,8,15
548,20,108,29,0,93,7,20,85,2,53,63,17,11
569,27,113,24,0,87,11,20,102,1,57,66,5,7
580,20,104,30,0,140,30,17,64,0,39,54,3,7
589,25,86,33,0,128,34,23,92,1,49,47,4,23
625,25,87,24,0,176,4,15,80,0,31,71,7,17
645,20,34,24,0,106,2,15,124,2,30,103,26,21
653,14,83,21,0,98,0,22,93,3,40,113,21,19
657,16,54,14,2,89,1,21,83,1,39,166,33,22
677,23,12,18,0,86,0,14,93,3,49,167,7,14
685,17,17,8,1,61,1,13,134,1,55,161,11,20
697,17,9,22,0,104,1,19,96,2,56,181,25,12
717,20,1,8,0,46,2,11,76,1,39,302,14,19
719,5,10,10,0,129,0,11,34,2,22,269,13,4
727,11,2,9,0,78,0,14,58,3,58,228,12,32
739,7,0,9,0,34,1,12,33,5,36,371,15,5
747,17,0,11,0,16,0,9,58,3,48,304,12,35
755,11,0,15,0,11,0,13,35,4,55,316,9,26
759,9,2,20,0,7,2,11,19,6,39,363,3,11
767,18,0,23,0,4,0,13,21,8,56,321,8,27
775,9,0,73,0,0,1,19,9,26,26,249,14,65
783,13,0,69,0,3,0,5,13,22,52,226,56,42
787,5,0,75,0,6,0,9,12,17,45,225,77,44
791,8,0,23,0,4,0,5,4,77,39,183,131,9
804,4,1,45,0,5,1,3,19,90,11,297,32,7
819,2,0,7,0,2,0,0,3,28,9,94,352,9
823,0,3,14,0,1,0,7,7,48,20,127,263,1
827,0,0,5,0,0,0,1,2,4,22,117,308,4
837,6,0,2,0,0,0,0,2,28,12,133,307,3
