"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce"
0,0,18,63,3,44,3,10,40,4,16,20,0
10,0,20,42,5,32,1,16,17,3,10,18,0
20,2,13,54,6,49,6,8,38,4,18,30,0
30,1,17,75,2,52,1,13,46,3,3,35,0
40,1,28,52,3,27,0,5,26,0,10,19,0
50,2,13,50,1,45,2,6,31,0,11,24,0
60,1,15,58,3,35,0,10,48,1,15,17,0
70,1,28,71,1,46,2,7,40,0,13,22,0
80,1,22,72,6,34,3,9,46,0,23,29,0
90,1,12,92,9,35,1,5,53,1,24,18,0
100,1,12,75,6,49,4,5,40,0,16,16,0
110,0,7,77,8,33,3,5,44,0,18,11,0
120,1,16,70,4,34,3,10,38,0,26,23,0
130,7,26,59,6,36,1,12,33,0,9,21,0
140,0,6,26,3,19,2,13,26,1,8,18,0
150,0,18,55,4,24,0,9,46,0,13,19,0
160,1,12,41,0,47,2,11,40,0,14,28,0
170,0,16,52,2,29,3,8,32,1,12,22,0
180,2,4,62,6,30,1,4,34,0,10,22,0
190,1,10,77,3,34,2,12,42,0,14,14,0
200,1,12,76,6,33,1,9,58,0,12,16,0
210,1,14,75,6,23,0,7,43,0,16,12,0
220,5,22,71,1,21,3,13,38,1,17,20,0
230,4,29,61,4,36,3,11,34,0,16,26,0
240,1,25,69,4,38,2,9,42,0,21,21,1
250,3,19,67,2,30,4,14,43,1,19,21,1
260,4,17,59,2,23,1,6,38,0,12,19,1
270,2,19,50,4,14,3,8,24,0,20,17,0
280,3,18,49,2,12,2,4,28,0,16,24,0
290,2,10,63,5,25,4,8,49,0,15,20,0
300,0,2,67,0,37,3,12,49,0,11,22,0
310,1,22,76,0,30,0,14,46,0,10,23,0
320,1,22,67,3,14,2,10,57,0,15,17,0
330,5,15,66,5,17,2,8,45,1,10,29,0
340,6,21,53,5,15,2,17,59,0,11,19,0
350,1,32,49,2,8,3,15,61,0,11,30,0
360,4,30,72,3,11,2,9,57,0,14,20,0
370,4,27,97,6,16,1,6,46,0,14,13,0
380,6,31,82,8,10,2,14,45,0,15,8,0
390,1,33,94,3,14,4,8,58,0,14,17,0
400,3,30,99,0,15,3,15,42,0,6,9,0
410,5,13,85,4,89,2,6,42,0,12,13,1
420,2,18,63,0,106,1,5,31,0,9,3,0
430,4,19,68,0,121,4,8,24,0,12,7,0
440,2,17,95,0,119,2,16,48,0,11,19,0
450,5,17,64,0,98,2,11,34,0,9,5,0
460,7,29,101,1,99,3,7,39,0,8,5,0
470,7,12,95,2,133,4,11,37,0,19,10,0
480,4,17,106,2,96,2,8,40,0,15,7,0
490,4,26,100,1,111,4,17,36,0,13,11,0
500,10,21,76,0,88,2,12,43,0,2,19,0
510,5,21,71,1,83,1,12,35,0,4,9,0
520,2,27,87,2,97,2,12,48,0,17,15,0
530,3,24,84,1,131,2,8,41,0,13,15,0
540,5,16,89,0,101,2,9,58,0,10,23,0
550,10,10,86,0,82,1,6,53,0,13,52,0
560,6,10,48,0,64,0,10,71,0,9,46,0
570,4,6,23,0,96,1,4,73,0,10,73,1
580,5,4,38,1,68,1,9,72,1,8,59,1
590,3,2,10,0,89,0,10,72,0,8,78,1
600,3,0,21,0,93,3,5,65,1,12,98,0
610,4,5,51,0,68,1,7,60,2,16,106,0
620,7,6,39,1,50,0,5,70,6,14,125,1
630,4,0,23,0,22,0,5,77,7,12,180,1
640,6,0,24,1,9,0,7,53,9,17,216,2
650,5,0,43,1,6,1,5,54,15,20,201,2
660,5,1,50,0,11,1,3,15,16,21,124,2
670,2,0,33,1,12,1,2,16,46,15,89,21
680,0,0,15,0,3,0,0,10,49,17,76,27
690,0,0,11,0,2,0,1,12,21,14,88,36
700,0,2,10,1,2,2,3,12,19,5,98,21
710,0,3,13,0,10,0,1,14,23,8,69,48
720,1,3,16,0,4,1,0,16,23,12,40,61
730,0,1,15,0,0,0,0,13,26,4,29,70
740,2,1,11,0,2,2,0,14,11,6,62,33
750,0,0,7,0,6,0,0,9,6,1,90,49
760,4,6,41,1,49,0,4,58,3,9,36,1
770,2,7,50,1,18,1,6,21,5,12,34,16
780,0,1,9,0,9,0,0,10,0,0,28,2
790,1,5,12,0,21,0,0,20,0,3,41,4
800,0,0,3,0,2,0,0,0,0,0,4,0
810,0,1,2,0,9,0,0,4,1,0,12,2
820,0,3,13,0,8,0,0,11,1,1,9,0
830,1,11,40,1,34,1,0,47,1,11,38,1
840,0,0,1,0,0,0,0,1,0,1,1,0
850,0,0,3,0,1,0,0,0,0,0,2,0
860,0,1,3,0,6,0,0,7,1,0,35,1
870,0,2,2,0,3,0,0,2,0,0,8,1
880,0,0,0,0,1,0,0,1,0,5,4,3
