"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
15,5,7,98,0,16,0,8,22,4,42,29,10,0
25,4,13,143,4,15,2,9,16,3,28,27,8,1
35,7,21,110,3,24,0,6,17,5,20,31,22,0
45,6,15,87,0,26,0,5,26,5,25,46,19,0
55,3,21,97,1,14,1,9,11,3,28,30,32,2
65,5,17,97,2,29,1,4,13,1,27,23,14,0
75,6,19,80,0,19,0,9,14,4,24,29,15,1
85,8,23,115,4,31,0,9,12,7,24,41,27,2
95,14,28,97,2,35,0,7,27,0,17,46,43,2
105,4,30,81,0,49,0,12,11,3,19,59,23,0
115,5,40,108,0,52,0,7,9,6,10,62,21,0
125,3,31,94,0,50,0,10,12,4,16,72,24,1
135,14,33,104,0,49,2,4,34,3,15,53,31,0
145,3,32,94,0,55,0,6,26,3,10,50,42,1
155,6,30,87,0,39,0,7,27,6,11,70,19,2
165,6,37,109,0,59,0,11,35,1,24,62,31,0
175,9,27,116,0,42,0,10,27,0,17,50,31,0
185,8,33,101,1,68,1,8,33,3,16,59,36,0
195,2,23,98,0,44,0,12,37,4,16,73,30,1
215,9,35,125,1,66,2,10,35,1,21,64,27,1
255,2,34,70,3,47,1,8,34,3,21,37,36,1
295,7,26,102,0,71,1,9,23,0,19,49,32,0
335,12,43,140,0,59,2,4,28,2,23,39,19,1
375,17,44,114,0,87,1,11,34,3,24,38,28,0
415,12,50,79,1,76,0,10,11,2,19,27,32,1
455,7,83,84,0,93,0,10,19,3,16,24,46,1
495,7,59,105,1,61,0,12,10,2,16,19,24,0
535,10,54,70,1,108,1,10,20,2,7,27,20,1
575,8,62,101,1,109,0,15,9,4,12,19,20,0
615,5,61,74,1,122,1,12,15,2,14,26,24,1
645,11,75,78,1,121,1,10,15,2,15,25,24,1
655,6,70,102,1,102,0,10,15,0,16,25,23,0
695,7,56,77,2,102,2,11,20,3,14,23,16,0
735,9,62,109,1,117,0,13,13,3,15,25,17,2
775,9,75,59,2,130,0,17,11,2,12,27,14,1
815,4,68,72,0,123,2,12,13,1,12,27,14,1
855,5,58,91,0,104,0,14,13,3,11,27,8,1
895,7,61,102,0,101,1,13,15,4,7,30,13,0
935,13,59,66,0,102,1,6,16,2,11,30,17,0
975,8,58,96,2,117,0,5,12,5,19,31,10,0
1015,14,46,109,1,127,1,9,23,3,20,43,27,0
1055,4,71,116,1,128,0,8,23,3,17,29,13,0
1095,11,45,102,1,93,0,7,16,3,15,33,7,1
1135,6,48,95,1,111,0,7,17,2,16,33,8,0
1175,5,46,102,0,91,1,11,20,3,21,30,6,0
1215,8,61,113,0,103,0,12,12,2,24,26,5,0
1255,10,68,117,1,115,0,10,14,1,10,21,5,0
1295,8,83,105,0,89,1,11,19,1,13,16,9,1
1335,5,92,93,1,116,2,9,20,4,16,20,10,0
1375,10,46,96,1,124,1,5,15,1,13,29,4,0
1415,6,75,91,0,143,1,18,27,5,11,37,7,2
1455,10,79,84,1,141,0,14,18,4,17,35,8,1
1495,8,85,95,0,118,2,10,22,2,17,36,5,0
1535,7,74,116,1,110,0,15,13,3,22,41,12,1
1575,5,59,100,0,118,1,12,16,3,10,39,2,0
1605,9,62,96,1,114,2,13,11,4,15,38,8,0
