"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
15,6,29,90,17,32,8,6,66,0,52,27,16,0
30,6,13,60,26,22,0,6,73,0,44,13,4,0
55,12,34,174,49,53,3,10,106,0,59,10,22,4
77,7,41,104,33,49,4,5,115,0,69,9,13,6
97,11,48,87,24,46,4,7,74,0,48,14,8,0
111,7,91,137,27,47,7,6,116,0,85,17,13,2
125,13,81,157,33,50,17,17,215,4,82,69,11,1
145,13,91,74,7,58,7,5,51,0,47,10,14,0
165,23,49,106,21,40,16,13,135,0,90,59,1,0
185,32,102,139,8,35,11,16,134,0,82,50,0,1
211,16,68,121,5,23,9,18,130,0,77,29,1,0
235,20,56,81,7,17,12,9,112,0,55,39,3,0
251,13,83,116,4,17,15,14,174,0,70,64,1,0
271,17,83,110,4,16,12,7,160,0,66,62,1,0
320,13,57,118,4,26,16,14,179,0,50,68,0,0
338,10,84,95,2,22,19,17,111,0,82,38,0,0
354,34,85,150,0,22,18,5,188,0,65,37,0,0
366,32,99,138,1,26,15,7,188,0,53,40,0,0
380,23,78,141,0,31,21,0,155,0,80,27,1,0
405,18,67,127,1,92,12,1,146,0,56,26,1,0
422,15,63,92,1,83,20,0,119,0,54,25,0,0
440,19,79,79,1,73,10,1,113,0,58,19,0,0
454,16,68,64,0,79,13,1,115,0,73,20,0,0
470,13,47,71,0,61,25,0,120,0,83,15,0,0
482,36,58,88,1,75,5,1,160,0,65,24,0,0
502,12,66,127,2,75,8,11,79,1,44,23,3,0
520,14,83,116,1,127,13,0,155,0,63,43,0,0
535,33,81,129,0,175,4,0,183,0,98,51,1,0
550,24,77,133,0,106,3,1,211,0,68,55,0,0
570,43,49,107,0,216,6,2,282,0,104,142,8,0
576,60,55,76,1,224,2,0,286,0,126,143,2,0
604,39,1,37,0,75,3,1,218,4,143,230,29,0
612,42,0,79,0,21,1,0,272,0,118,273,5,0
622,33,10,178,1,10,9,5,182,0,139,502,16,5
630,21,0,151,0,6,2,4,26,6,120,219,57,9
640,10,1,50,2,14,2,0,15,3,82,145,158,1
645,4,0,11,0,0,0,0,21,1,82,149,225,0
651,16,1,19,0,0,2,0,55,2,63,85,280,0
660,3,1,7,1,0,1,0,18,1,33,43,199,0
666,1,1,3,0,0,1,0,11,1,51,78,63,3
672,0,0,3,0,0,0,0,13,2,30,94,45,3
679,0,0,1,0,0,0,0,6,1,14,54,30,1
