"depths","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
0,0,7,9,0,5,2,150,0,14,58,0,0
5,1,11,18,2,8,4,140,0,16,45,0,0
10,2,5,18,1,8,3,175,0,8,42,0,0
20,3,2,11,2,4,2,186,1,22,46,0,0
25,2,3,14,1,2,0,193,0,62,9,2,0
40,2,8,13,6,2,0,192,0,25,23,0,0
50,4,2,40,3,8,1,161,1,33,25,2,0
60,2,7,2,12,6,2,162,2,39,40,3,0
70,3,5,6,6,5,0,193,1,23,26,0,0
80,2,9,2,10,2,1,175,0,17,30,1,0
85,2,6,1,15,6,0,172,1,25,40,0,0
90,2,6,12,9,3,1,147,1,27,62,0,0
95,3,7,4,17,1,0,137,2,23,50,4,0
97.5,1,16,1,3,0,0,48,16,54,90,13,0
100,1,22,0,1,0,0,28,12,49,78,14,2
102.5,1,30,0,4,0,0,23,12,67,103,13,0
105,2,25,0,2,0,0,11,10,120,35,20,0
115,4,25,0,0,0,0,18,7,120,29,16,0
125,0,32,0,0,0,0,16,18,94,39,27,0
