"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
0,18,12,83,9,18,24,5,147,0,51,25,0,2
20,10,10,67,12,19,23,8,157,0,73,26,0,1
30,3,13,53,26,28,14,10,148,0,82,36,1,3
40,5,22,42,15,50,26,11,195,0,85,44,0,2
50,14,19,51,12,38,21,4,188,0,81,45,1,0
60,4,16,37,5,30,23,5,174,1,85,18,0,0
70,10,20,82,13,72,41,13,325,0,85,45,0,1
80,10,21,42,9,34,19,4,202,0,62,17,0,0
90,9,16,50,14,35,34,5,193,0,57,30,1,0
100,11,29,45,13,25,30,6,182,0,45,27,0,0
110,7,14,54,7,35,29,11,194,0,70,24,1,0
120,2,21,60,14,17,21,6,190,0,63,23,0,0
140,12,12,41,12,30,25,7,183,0,62,32,0,0
160,13,19,51,10,30,19,12,176,0,50,24,0,0
174,6,21,62,9,36,23,5,182,0,55,34,0,0
195,9,22,46,19,27,22,4,209,0,61,26,0,0
215,9,17,41,14,20,27,8,187,0,53,41,0,0
235,11,15,49,26,22,31,10,204,0,57,38,0,0
271,17,28,58,25,9,21,9,155,0,57,29,1,0
291,22,45,52,26,9,26,17,128,0,48,34,0,0
311,16,25,42,42,10,20,12,162,0,57,37,0,0
331,13,13,33,31,2,20,11,235,0,70,35,0,1
351,11,20,25,8,1,20,6,236,0,67,33,0,0
365,9,21,24,13,4,47,16,202,1,67,24,0,1
371,15,12,33,3,0,24,8,234,0,42,34,0,0
391,20,20,21,3,5,32,10,271,0,67,29,0,0
411,14,20,14,6,7,15,12,213,0,44,33,0,0
431,29,12,25,2,3,33,14,237,0,45,28,0,1
441,15,24,20,4,10,31,14,239,0,54,22,0,0
451,18,30,29,8,10,34,8,248,0,64,23,0,0
457,15,25,28,3,8,38,9,252,0,86,19,0,0
467,11,21,23,3,3,25,10,274,0,76,14,0,1
477,13,18,23,7,21,33,18,184,0,63,26,0,0
487,11,15,27,3,28,32,7,197,0,70,14,0,1
497,16,30,34,3,51,29,14,216,0,61,15,0,0
507,11,9,13,5,60,37,17,210,0,50,14,0,0
517,18,11,23,1,59,26,12,204,0,55,32,0,0
537,10,22,22,1,85,28,9,142,0,54,12,0,0
547,13,20,14,1,44,30,9,204,0,50,7,0,1
557,14,32,23,1,44,20,7,236,0,42,21,0,2
577,11,28,21,0,41,16,8,223,0,51,9,0,0
597,10,34,21,0,61,14,13,224,0,39,6,0,0
607,7,12,26,0,41,16,10,218,0,49,5,0,1
617,13,34,17,0,41,12,9,255,0,36,10,0,0
627,14,29,19,0,47,13,9,256,0,38,10,0,0
637,14,16,17,1,49,12,2,231,0,38,13,0,0
647,7,20,11,1,32,9,3,279,0,35,6,0,0
662,14,32,23,0,29,3,7,274,0,29,6,0,3
672,11,21,18,2,23,5,8,289,0,42,11,0,1
682,16,21,24,2,26,8,5,261,0,27,14,0,1
692,10,27,22,1,37,4,7,288,0,43,9,0,4
702,10,27,22,1,37,4,7,288,0,43,9,0,4
712,2,15,26,0,52,5,5,307,0,45,17,0,0
722,8,10,28,0,35,0,4,263,0,44,17,0,0
732,19,3,16,0,70,1,4,277,0,41,26,0,0
747,8,5,7,0,32,3,3,203,0,26,28,0,0
757.5,3,7,17,0,25,1,2,332,1,46,40,0,0
767.5,0,3,16,1,29,5,2,441,0,29,46,1,0
777.5,3,0,15,1,30,0,6,291,0,35,35,0,3
787.5,5,3,12,0,26,0,1,307,0,49,58,0,4
797.5,6,1,12,0,43,0,2,266,0,26,52,0,3
807.5,4,2,14,2,17,0,2,287,1,32,67,0,5
822.5,6,0,31,1,45,0,2,150,1,36,163,3,5
829.5,7,6,13,0,28,1,6,254,0,39,38,0,5
839.5,8,8,11,0,30,2,6,339,0,23,34,0,0
849.5,6,0,7,0,25,0,2,312,0,24,27,0,2
859.5,16,3,8,0,16,0,1,307,0,20,47,2,3
869.5,7,1,21,1,22,0,2,288,0,26,50,0,11
879.5,9,2,21,1,26,2,3,339,0,50,74,0,17
889.5,21,1,17,1,25,1,8,292,2,32,79,1,6
899.5,7,1,16,1,21,0,1,290,0,40,29,0,7
914.5,3,0,16,1,34,1,0,266,0,38,91,1,4
925.5,11,1,9,0,45,1,3,287,1,33,94,0,2
935.5,7,1,11,2,31,0,2,355,0,56,64,0,0
945.5,7,2,12,0,41,1,1,310,0,31,79,0,2
955.5,8,1,16,0,39,1,5,395,2,48,73,0,0
965.5,9,0,14,1,32,1,2,279,0,26,52,0,1
975.5,12,2,17,0,30,1,6,376,0,38,77,0,0
985.5,6,1,16,1,30,2,3,346,0,36,58,0,5
995.5,8,0,15,0,31,1,1,277,0,27,62,0,1
1005.5,7,0,4,0,53,1,1,300,0,44,57,0,0
1014.5,6,1,166,0,4,0,0,13,30,89,124,62,3
1024.5,3,1,143,0,2,0,0,11,44,107,108,78,2
1034.5,2,0,65,0,3,0,2,11,20,123,131,73,1
1044.5,3,0,34,0,3,1,0,14,40,75,159,62,2
1054.5,4,0,37,0,2,0,0,10,18,102,243,75,1
1064.5,12,1,21,0,0,1,0,38,16,47,362,51,3
1074.5,23,4,29,0,0,2,0,44,13,46,248,32,1
1084.5,9,5,26,0,3,1,0,44,13,77,250,64,4
1089.5,15,1,36,0,1,0,0,55,11,60,233,76,1
1091,24,0,18,0,0,2,0,49,11,49,191,97,0
1096,10,0,20,0,0,1,3,40,52,27,112,147,12
1106,13,0,28,0,1,0,0,36,50,39,193,160,9
1116,1,0,40,0,0,0,0,58,3,41,71,147,5
1126,18,0,23,0,0,0,0,12,0,46,85,225,2
1136,3,0,63,0,0,0,0,20,2,45,157,158,8
1146,3,0,18,0,0,0,0,9,0,53,195,113,1
1161,0,0,7,0,0,1,1,8,1,60,227,101,0
1165,4,0,26,0,0,3,0,29,21,33,138,158,1
1166,4,0,2,0,1,2,0,19,1,55,271,89,0
1171,1,0,0,2,0,0,0,9,1,37,295,83,6
1181,2,1,4,0,0,1,1,3,2,26,284,66,0
1191,0,0,0,0,0,2,0,5,0,20,263,111,0
1201,0,0,0,0,0,1,0,13,0,30,312,72,0
1211,0,0,3,2,0,0,1,6,2,33,261,90,0
1221,0,0,3,0,0,0,0,3,0,16,318,64,2
1231,1,0,3,0,0,1,4,17,0,19,287,81,1
1241,0,0,0,0,2,0,0,1,1,10,337,72,0
1251,0,0,2,0,0,0,0,3,0,19,335,64,2
