"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
1,4,4,69,1,17,5,17,67,0,46,70,9,0
3,6,7,81,1,15,5,48,74,0,58,63,10,2
5,5,5,90,3,22,3,22,65,1,72,53,12,0
7,3,4,141,3,5,2,19,40,0,42,31,9,0
10,3,4,86,22,9,2,22,26,2,29,34,15,0
13,0,11,125,31,9,2,23,37,0,41,52,23,1
15,3,12,51,12,13,1,9,38,0,28,33,9,0
17,8,39,153,36,21,2,12,88,0,38,91,19,0
20,6,35,81,4,44,6,16,75,0,32,44,21,1
22,8,95,173,14,60,5,17,78,0,43,60,46,0
26,4,88,139,10,38,2,10,64,0,46,64,28,0
30,0,21,40,5,28,3,3,23,0,32,14,10,0
33,10,76,124,19,41,5,13,81,0,48,54,8,1
37,6,115,165,9,53,4,27,98,0,84,99,10,1
40,4,74,73,6,78,3,5,64,0,28,91,7,5
42,4,111,100,5,55,8,10,79,0,34,171,10,2
45,0,32,35,1,31,1,4,29,0,13,47,6,1
47,6,77,70,6,29,3,16,94,0,43,76,8,1
60,3,44,35,0,24,7,4,29,0,10,27,6,0
70,2,31,56,0,32,2,3,120,0,42,107,2,0
80,3,58,24,0,13,7,3,69,0,31,48,0,0
90,3,44,57,0,34,4,21,128,0,30,50,0,0
95,7,73,82,0,30,3,7,96,0,57,57,1,1
98,5,44,61,0,54,2,7,74,0,36,34,1,0
110,1,70,68,0,66,1,3,66,0,28,30,1,0
120,2,32,42,0,20,4,3,46,0,63,5,1,0
130,2,71,62,0,155,0,10,68,0,16,22,0,0
139,1,33,39,0,114,1,2,40,0,434,54,2,0
147,0,30,71,0,109,1,0,89,0,10,106,4,0
160,5,18,16,0,32,2,4,38,0,23,40,1,5
170,6,13,66,0,63,0,2,120,0,8,114,2,0
180,5,5,74,0,148,0,14,150,0,74,185,35,0
195,3,6,48,0,69,0,7,83,0,33,196,7,0
220,3,7,20,0,25,1,0,71,0,59,143,0,0
240,6,7,40,2,30,1,6,47,0,27,141,5,4
260,7,2,38,1,58,0,1,108,0,35,314,0,0
275,2,3,56,0,80,1,6,118,6,208,371,12,3
290,12,2,182,0,11,1,8,134,9,46,392,23,1
320,4,1,77,0,6,1,2,21,1,27,249,86,0
345,1,0,115,0,3,1,1,14,18,70,189,324,4
370,1,3,27,0,0,0,2,3,0,11,46,275,2
390,3,1,64,0,0,0,0,14,10,29,95,368,4
420,3,3,61,0,1,0,0,29,34,21,67,193,4
440,0,0,17,0,0,0,0,12,4,12,39,206,8
470,0,0,5,0,0,0,0,3,0,21,55,30,8
480,1,0,7,0,0,0,0,6,0,31,60,47,0
490,0,2,20,0,6,0,3,5,0,26,48,18,1
