"depths","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
10,0,64,0,1,0,3,9,3,9,21,179.5,0
14,0,156,0,2,0,3,2,4.5,53,13.5,58,0
16,0,47,0,7,0,2,6,9,39,23.5,168,0
18,8,666,0,27,0,11,2,7.5,44,29.5,70,0
21,11,150,1,27,0,6,3,14.5,5,28,57.5,0
23,3,169,1,32,2,8,3,6.5,3,64.5,26.5,0
24,13,297,0,31,0,20,7,11,11,132.5,37,0
25,4,149,0,23,0,5,10,7,5,59.5,123,0
27,6,172,0,50,0,10,6,8,8,123.5,44,0
29,14,150,0,32,0,14,10,3.5,6,48.5,55,0
30,6,200,1,23,0,15,5,6.5,2,58,33.5,0
32,10,214,0,28,0,9,6,7.5,27,87,17.5,0
34,14,203,0,23,0,32,13,1.5,6,56,7,0
35,3,152,0,34,0,25,14,5,12,116.5,20,0
37,19,157,0,31,0,8,15,2,3,54.5,8.5,0
40,15,144,0,28,1,55,10,6.5,20,103,19,0
42,5,146,0,19,0,22,7,2,4,58,3,0
45,6,143,0,26,0,34,10,2,8,101,22.5,0
47,8,119,0,52,0,43,8,3.5,21,78.5,10.5,0
50,9,116,0,94,0,28,11,2,15,147,10.5,0
53,12,159,0,28,0,63,19,2.5,14,84,13,0
55,2,195,0,8,0,3,6,10.5,22,27.5,26.5,0
57,6,110,0,94,1,56,14,1,10,71,4.5,0
59,7,70,0,43,0,7,10,2,7,81.5,6,0
60,0,300,0,2,0,1,2,1.5,2,22,8.5,0
62,3,82,1,51,0,29,14,0,4,102.5,2,0
65,5,148,0,94,0,15,15,2,6,131,7.5,0
70,1,47,0,89,0,8,16,3,16,123.5,8,0
75,0,117,0,45,0,16,42,1,20,85,6.5,0
80,2,62,0,43,0,16,30,1,31,94,8.5,0
85,0,29,1,70,0,7,23,1,12,101.5,8,0
90,0,98,0,14,0,3,29,3,15,91.5,3.5,0
95,1,69,0,3,0,1,37,1,10,102.5,2.5,0
100,0,46,0,3,0,1,22,0,6,81.5,2,0
102,0,98,0,14,0,3,29,3,15,91.5,3.5,0
105,0,133,0,0,0,1,14,3.5,28,28,4.5,1
110,0,136,0,10,1,6,55,8.5,43,204.5,8.5,0
115,0,82,1,6,0,8,47,11,18,210,7.5,0
120,0,52,0,3,0,7,39,6.5,23,131,6,0
125,0,149,0,4,0,3,33,5.5,58,180.5,5.5,0
130,0,130,0,0,1,1,21,8,30,100.5,3,0
135,0,60,0,4,0,9,33,5,60,166,13,0
140,0,40,0,2,0,3,21,72,16,29.5,50.5,0
145,0,32,0,2,0,5,9,34,20,46,24,0
150,0,16,0,2,0,5,3,7.5,4,19,11,0
155,0,16,0,1,0,1,6,9,22,24.5,8,0
160,0,43,0,0,0,0,7,3,27,32.5,61,0
165,0,16,0,0,0,1,3,2.5,26,30,62.5,0
170,0,153,0,2,0,0,11,1.5,65,28,32.5,0
173,0,139,0,2,0,0,3,0,50,18.5,44,0
179,0,152,0,4,0,1,3,0,16,25.5,71,0
