"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
0,1,11,148,0,8,0,0,9,2,15,25,31,0
10,0,2,121,0,4,0,3,4,2,17,9,44,0
20,0,3,121,1,2,1,2,6,9,22,13,36,0
30,5,7,167,0,6,1,2,8,15,13,14,39,0
40,5,13,156,0,12,0,4,9,10,14,29,53,0
43,4,16,168,0,2,1,6,11,8,18,25,34,1
45,1,15,180,1,10,0,2,9,9,19,21,36,0
55,11,16,219,0,9,0,6,8,6,23,18,35,0
65,2,19,216,0,22,1,9,8,8,13,30,34,1
75,7,32,294,0,24,1,11,18,16,23,27,39,0
80,2,14,193,0,15,0,6,19,10,14,18,15,1
85,0,13,154,1,16,0,8,7,11,14,16,16,2
87,5,34,313,1,24,0,10,8,29,36,36,37,0
95,3,14,179,1,14,0,4,9,5,13,16,8,1
105,1,11,153,0,14,0,7,0,3,12,20,5,1
115,7,20,194,1,15,0,13,6,10,13,41,13,2
125,6,23,180,0,6,0,10,5,15,27,34,16,2
135,0,19,177,0,11,0,8,9,3,26,35,13,0
145,9,8,265,0,1,0,12,12,7,20,49,5,2
155,4,5,185,0,1,1,11,13,3,23,48,4,0
165,5,11,189,0,8,1,6,9,6,12,32,7,1
170,6,36,319,0,12,0,27,14,0,28,86,30,1
175,4,12,243,0,46,0,14,16,2,38,51,7,2
185,8,11,200,0,36,1,4,6,4,24,49,3,1
195,5,4,211,0,61,1,6,7,4,20,44,9,0
200,10,24,320,0,3,0,12,13,3,31,58,11,1
205,4,21,159,1,11,1,11,13,6,28,38,6,2
215,3,13,132,1,5,0,6,6,2,17,33,6,0
225,3,9,221,0,8,1,14,11,3,25,41,9,0
235,5,3,136,0,4,0,10,8,7,24,69,7,1
245,2,16,194,0,3,0,11,23,2,26,59,6,0
255,3,14,181,0,4,0,6,11,4,19,42,7,0
260,12,12,300,0,52,0,8,24,3,39,108,9,0
265,6,6,191,0,28,1,8,14,7,15,47,4,1
275,14,8,236,0,35,0,9,25,1,24,110,11,0
285,7,4,232,0,51,0,7,31,7,23,138,7,0
295,10,7,156,0,18,0,11,45,8,23,211,10,1
305,14,11,296,0,26,1,34,87,14,51,441,23,1
315,16,2,307,0,40,1,33,71,16,86,398,26,2
325,31,6,218,0,35,1,21,63,18,60,350,25,0
335,9,7,230,0,20,1,25,76,12,66,298,42,3
339,16,1,192,0,14,0,11,53,14,51,302,23,3
345,9,3,185,0,2,0,8,31,14,44,159,45,2
350,5,1,197,0,10,0,3,37,23,33,240,43,3
355,8,0,285,0,5,0,12,49,38,44,299,65,4
360,6,1,176,0,5,1,7,34,40,49,241,59,0
365,14,3,242,0,12,2,6,57,51,46,357,42,0
370,11,1,242,0,4,0,9,58,30,58,291,43,1
375,17,0,268,1,1,0,1,55,36,43,212,55,6
380,4,0,203,1,2,0,0,28,56,38,119,60,0
385,0,0,142,0,1,1,0,4,1,39,59,26,1
392,0,0,94,0,3,0,0,4,2,70,35,35,0
394,2,1,55,0,0,0,0,6,3,61,48,85,0
400,0,0,47,0,2,0,0,4,1,66,41,66,0
407,1,0,15,0,1,0,0,1,0,31,25,24,0
410,0,1,18,0,0,0,0,7,0,39,42,45,0
