"depths","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce"
10,8,36,0,8,1,1,4,8,10,7,74
20,19,65,0,22,0,4,4,4,4,17,52
30,18,57,0,21,0,4,0,3,23,11,34
40,47,157,0,56,1,19,11,16,25,27,139
50,33,122,0,90,1,10,6,7,19,33,12
60,25,57,0,41,1,2,7,3,10,16,14
70,37,49,0,74,1,6,12,8,11,28,67
80,23,48,2,30,0,7,9,2,19,11,16
100,26,45,0,57,3,4,2,3,7,13,3
120,36,71,0,94,1,10,11,5,23,59,6
140,20,37,0,35,0,8,4,3,18,34,4
160,27,48,0,22,1,9,5,3,12,50,2
180,23,49,0,32,0,9,8,1,9,36,1
200,18,65,0,32,1,8,12,2,17,64,3
220,10,45,0,12,0,3,16,1,27,39,2
240,22,62,0,17,0,8,7,9,11,36,2
260,42,75,0,52,1,15,21,4,47,76,7
280,19,48,0,16,2,5,10,10,17,33,3
300,51,97,0,30,1,15,17,7,38,80,2
320,13,36,0,21,2,11,11,1,18,33,5
340,17,32,0,25,0,9,8,0,18,44,4
360,14,41,0,27,2,5,7,0,20,38,3
380,38,113,1,52,0,21,15,10,41,66,1
400,18,45,0,7,1,5,11,1,18,52,0
420,29,130,0,38,3,23,19,2,34,96,1
440,21,38,0,17,0,9,7,0,22,45,0
460,40,86,0,40,1,17,15,3,21,83,1
480,21,44,0,18,0,14,9,0,20,44,0
500,36,221,0,78,0,31,66,16,79,418,4
520,23,52,0,53,0,5,4,1,15,26,1
540,27,41,0,188,0,8,4,0,27,43,1
560,16,43,0,77,1,7,7,0,6,16,0
580,21,32,0,87,2,6,5,0,12,17,1
600,25,55,0,117,2,4,22,1,23,65,1
610,4,41,0,37,0,6,30,0,15,44,2
620,7,35,0,91,0,7,6,0,14,23,2
640,10,36,0,80,1,7,13,0,13,38,0
660,21,71,0,108,0,8,34,1,26,136,1
680,8,28,0,37,0,4,18,0,12,64,0
700,6,21,0,44,0,5,20,0,12,76,1
720,0,10,0,14,0,3,14,2,13,128,4
740,3,17,0,10,1,5,19,4,14,107,4
760,3,6,0,8,0,1,12,3,2,157,1
780,0,43,0,40,0,3,39,9,21,240,2
800,0,17,0,5,0,2,37,7,16,200,0
810,1,5,0,2,0,5,35,0,8,131,1
820,2,37,0,16,2,14,76,7,45,649,11
830,0,23,0,1,0,0,34,0,13,140,0
840,1,13,0,2,1,0,15,5,9,136,7
860,1,39,0,4,0,4,59,14,25,395,26
880,1,15,0,6,0,1,15,5,11,119,12
900,2,55,1,10,1,4,36,23,33,350,32
920,0,23,0,3,0,2,15,10,11,118,12
940,2,18,0,2,0,0,12,9,14,89,14
960,1,39,0,4,0,5,31,24,33,159,97
980,0,21,0,0,0,0,2,3,13,40,74
1000,0,20,0,0,0,0,13,12,7,85,215
1010,0,6,0,0,0,2,9,0,15,55,39
1020,2,15,0,2,0,0,11,8,12,37,54
