"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
4,0,60,123,28,59,16,7,184,0,47,45,5,0
20,2,31,51,29,44,10,8,89,1,24,44,3,0
50,1,30,55,23,41,6,0,97,0,32,57,1,0
80,0,51,90,13,80,22,7,158,0,64,111,3,1
120,1,64,79,15,87,11,3,143,0,48,87,0,0
150,0,48,46,7,46,3,6,89,1,35,60,2,0
180,2,51,54,9,67,10,1,147,0,53,126,0,0
220,0,69,49,8,39,20,7,151,0,62,86,1,0
250,0,58,36,2,23,8,4,122,0,36,65,1,0
280,0,82,74,0,31,21,8,244,1,84,87,1,2
320,0,58,56,4,17,19,4,213,0,77,58,2,0
350,2,34,25,4,4,15,2,118,0,51,44,1,0
380,0,59,39,1,10,31,9,281,0,70,41,3,0
420,0,46,41,6,13,16,9,211,0,70,52,0,0
450,1,42,40,2,4,22,1,157,0,47,31,2,0
480,0,70,65,1,18,28,7,232,0,78,47,0,0
520,1,67,49,3,26,20,4,168,0,62,37,1,0
540,0,62,40,0,27,13,2,120,0,45,28,0,0
580,0,101,73,1,153,24,5,165,0,57,32,2,0
605,3,82,53,0,81,22,3,216,0,58,21,1,0
620,0,85,57,1,75,26,10,204,0,88,28,0,2
650,2,35,14,0,41,15,6,105,0,38,17,1,0
680,0,104,65,2,119,23,3,273,0,101,54,0,0
720,0,90,36,0,87,15,3,146,0,55,24,1,0
750,0,41,27,0,62,13,5,115,0,41,25,1,0
780,0,54,53,0,67,12,8,181,1,81,59,1,0
820,0,76,46,0,88,9,3,222,0,79,85,2,1
850,1,46,25,1,65,1,4,99,0,29,50,5,0
880,0,101,74,4,153,3,5,226,1,97,194,3,2
920,0,55,21,0,65,0,3,205,0,84,158,2,0
940,1,17,16,1,27,1,3,151,0,49,114,0,0
960,8,4,19,0,28,1,1,227,1,52,123,0,0
980,3,3,42,2,27,0,5,184,0,56,117,2,0
992,1,5,29,0,25,0,3,238,2,68,163,6,0
