"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
6,1,4,15,0,14,4,2,1,0,31,99,0,0
10,0,0,12,0,8,2,8,3,0,27,81,0,2
20,0,6,20,0,9,2,17,4,0,38,92,0,2
40,0,15,20,0,8,1,44,4,0,87,64,1,5
60,1,37,39,1,39,3,30,9,0,76,69,1,5
80,4,24,34,0,30,5,30,7,0,59,90,0,0
95,2,7,13,0,31,8,37,5,0,78,94,1,4
115,2,8,23,3,25,5,43,13,0,41,81,2,3
135,1,2,15,2,5,7,21,2,0,32,45,0,1
155,6,10,18,0,16,5,20,7,0,39,48,0,2
175,0,1,5,0,48,3,4,1,0,21,213,1,0
195,11,39,2,0,20,3,19,33,1,66,90,0,3
225,3,33,8,1,97,1,20,47,2,42,54,4,0
260,8,5,8,0,69,2,28,67,0,58,132,1,0
300,7,0,9,0,22,1,7,43,2,56,147,23,0
325,4,1,13,0,23,1,7,41,2,42,156,18,0
365,5,0,33,0,3,2,11,24,2,38,189,2,1
405,7,0,16,0,15,1,12,19,4,27,229,6,6
425,7,0,27,0,5,0,1,21,6,33,189,28,3
445,2,0,16,0,13,5,2,28,16,28,144,24,14
465,9,0,15,0,7,0,3,36,10,29,158,46,10
485,2,0,8,0,33,2,2,25,2,21,111,96,4
505,0,0,2,0,3,0,1,0,0,5,121,210,8
525,2,0,6,0,18,0,3,5,1,15,67,180,4
545,4,0,1,0,0,1,0,6,1,4,38,236,0
560,4,0,2,0,0,2,2,12,2,10,56,217,0
600,1,0,3,0,0,0,2,6,1,13,46,78,0
