"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
1,4,3,39,1,9,5,9,11,0,27,26,1,0
10,5,10,27,0,16,3,10,26,0,24,77,2,0
20,4,20,15,0,49,5,12,38,0,27,124,2,5
60,10,42,18,0,41,17,29,33,0,48,68,2,0
95,6,4,3,0,69,2,45,12,0,15,138,3,3
135,11,37,16,0,48,12,24,35,0,67,41,0,2
170,9,47,12,0,34,11,37,27,0,42,84,2,0
190,7,38,17,0,52,6,36,29,0,48,63,1,2
210,7,32,14,0,22,7,23,40,0,50,73,2,2
230,5,33,25,2,25,5,48,35,0,47,63,4,2
243,3,25,17,0,19,8,38,41,0,44,93,2,1
260,6,12,16,0,9,2,33,16,0,37,88,1,4
270,3,16,15,0,10,3,32,28,0,23,73,4,2
280,2,4,11,0,3,3,35,3,0,48,73,1,16
305,3,3,13,0,11,12,23,5,0,76,145,1,2
325,1,3,14,0,7,5,35,1,0,58,54,0,8
350,0,7,2,0,7,2,26,10,0,49,57,0,0
370,0,3,4,0,10,0,12,4,0,39,50,0,1
385,0,0,5,0,9,0,10,2,0,26,41,0,3
405,2,0,9,0,16,0,23,5,0,32,174,2,23
430,0,0,6,0,7,0,4,23,0,7,238,1,9
440,0,0,10,0,0,0,3,38,0,24,250,6,2
470,0,0,3,0,0,1,3,2,10,8,154,34,25
490,3,0,2,0,0,0,2,14,24,15,130,106,13
518,7,0,1,0,0,0,0,0,1,30,34,156,0
540,0,0,0,0,0,0,0,0,0,2,36,177,0
