"depths","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
7,4,129,0,17,0,7,7,14,21,49,53,2
57,27,111,0,107,0,3,7,2,5,50,8,0
127,16,144,0,104,0,2,5,0,17,56,19,3
162,37,131,1,179,0,7,14,3,14,76,16,3
227,22,111,1,79,0,4,7,8,7,93,9,2
257,33,75,0,46,0,6,9,4,19,128,14,0
272,45,126,0,16,0,4,33,3,21,95,15,1
352,37,129,0,136,2,9,30,2,22,104,8,0
382,11,93,0,127,0,1,17,0,7,81,6,1
467,10,60,0,52,1,5,11,4,10,142,6,2
497,3,29,0,46,0,1,24,2,9,196,6,0
542,7,38,0,40,0,1,21,0,17,158,13,1
587,1,53,0,22,0,2,49,2,19,196,22,0
657,0,54,0,4,1,3,35,15,25,198,29,1
727,0,100,0,2,1,3,26,9,27,161,56,0
762,0,113,0,0,0,1,6,3,27,43,150,0
