"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
10,10,21,163,0,13,1,21,34,3,16,66,19,0
50,4,20,105,6,19,0,10,13,5,30,54,29,0
90,4,28,98,0,49,2,14,20,2,9,60,27,0
130,4,41,110,0,44,2,15,13,1,21,92,43,0
170,11,38,108,1,62,2,23,23,3,10,89,49,0
210,5,42,119,1,40,0,13,23,3,19,119,35,0
250,8,84,122,2,44,3,17,22,0,20,83,28,0
290,9,49,109,1,60,2,16,24,4,29,58,53,0
330,5,37,96,1,47,3,10,19,4,15,51,89,0
370,5,66,92,2,59,0,14,22,8,18,62,55,0
410,4,65,87,0,82,3,23,11,5,13,53,57,0
450,8,35,60,1,86,2,11,9,1,14,68,76,0
490,7,66,101,3,79,1,20,19,3,10,43,44,1
530,5,81,136,1,63,0,19,16,4,14,63,40,0
570,7,76,106,1,50,4,25,20,2,16,73,30,0
610,7,61,91,4,83,3,20,10,2,22,88,21,0
650,2,50,74,0,76,1,17,14,2,8,58,43,0
690,11,67,117,0,47,2,16,28,1,9,68,26,0
730,6,69,97,1,49,4,20,16,2,12,69,33,0
770,11,58,94,1,47,4,18,30,1,14,80,40,0
810,9,60,102,0,47,2,16,17,1,20,56,37,0
850,9,76,114,1,58,4,16,23,1,28,38,36,1
890,8,77,108,0,65,1,16,19,2,23,49,41,0
930,18,77,110,0,84,2,12,21,0,14,44,44,0
970,6,71,79,2,90,1,9,18,0,17,54,33,0
1010,3,74,89,1,58,0,26,18,1,16,44,51,0
1050,11,57,122,0,74,3,14,13,2,15,45,23,0
1090,16,60,80,1,78,3,19,23,2,17,56,25,0
1130,11,50,69,0,68,4,21,28,1,14,38,33,0
1170,10,47,102,0,70,4,15,15,2,10,62,25,0
1210,5,60,99,0,73,1,24,15,3,11,35,40,0
1250,4,59,99,0,80,0,11,15,2,16,55,17,0
1290,9,66,103,0,79,1,16,17,2,16,46,3,0
1330,9,61,88,1,95,0,15,17,0,23,48,3,0
1370,13,57,81,0,128,3,10,15,1,17,54,3,0
1410,4,79,80,1,72,1,16,13,2,23,54,6,0
1450,14,62,109,0,82,1,21,21,1,32,56,5,0
1490,15,83,92,1,95,0,23,17,3,13,59,3,0
1530,6,61,84,0,87,1,8,22,0,23,42,1,0
1570,6,63,68,0,83,2,12,18,0,20,44,8,0
1610,11,88,69,1,74,1,17,31,1,27,45,11,0
1650,19,70,100,0,44,0,17,23,2,21,39,6,0
1690,12,85,87,0,75,2,18,21,3,20,44,17,0
1730,5,81,78,0,76,2,12,19,1,15,59,16,0
1770,15,69,98,0,55,1,16,11,1,22,56,16,0
1810,6,76,54,0,95,0,20,19,0,13,61,10,0
1850,10,55,73,0,63,3,20,21,0,20,50,15,0
1890,9,67,78,1,105,1,15,31,0,18,59,28,0
