"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
7,3,10,88,0,16,0,6,6,14,100,95,87,4
14,5,5,77,0,13,1,3,5,18,42,57,42,2
21,4,6,86,0,5,0,2,5,14,55,73,51,2
28,3,8,63,0,6,0,5,5,13,49,57,53,2
35,6,8,71,0,3,1,6,4,10,66,55,42,4
42,5,12,82,0,8,0,6,0,8,41,55,36,2
49,3,9,66,0,21,0,7,2,9,31,69,42,0
56,2,4,78,0,13,0,4,5,10,49,57,34,1
63,0,12,98,0,5,0,2,1,12,52,86,47,3
70,2,9,111,0,8,0,3,4,18,51,73,34,1
77,1,14,109,0,9,0,7,3,14,35,74,46,1
84,0,11,93,1,5,0,0,3,10,57,61,37,0
91,4,12,113,0,8,0,3,4,13,64,71,58,0
98,5,13,100,0,11,0,3,0,5,39,40,48,1
105,1,5,99,1,8,0,4,1,9,47,51,50,0
112,2,8,106,0,14,0,7,2,9,55,42,50,0
119,5,11,82,0,16,1,8,7,9,58,33,69,0
126,4,19,100,0,16,0,6,4,13,48,51,62,2
133,3,11,103,2,14,0,1,3,11,25,41,76,0
140,2,12,91,1,17,0,4,1,16,23,55,46,2
147,2,11,116,2,18,0,3,6,9,11,42,42,1
154,3,18,106,0,12,0,5,3,9,20,37,48,3
161,5,25,130,0,15,0,8,1,12,20,51,39,2
180,4,12,129,0,41,1,10,7,15,16,99,68,4
220,2,35,157,2,57,0,12,7,4,12,83,52,2
260,5,15,174,0,26,0,6,5,9,14,83,53,3
300,2,15,79,0,24,1,6,4,12,17,88,44,2
340,3,19,118,0,31,2,9,5,17,14,118,53,3
380,8,34,146,0,52,0,9,13,8,15,123,63,2
420,4,21,130,0,48,0,8,2,15,13,66,27,2
460,1,21,75,1,32,0,2,5,7,10,80,43,2
500,2,33,112,1,39,0,7,3,7,12,108,29,3
540,4,21,77,0,43,0,5,4,6,9,60,32,4
580,5,27,95,2,39,0,4,0,3,18,51,15,1
620,4,35,157,0,58,1,5,4,10,13,74,13,1
660,0,20,93,0,46,0,7,3,8,8,75,18,0
700,4,24,148,1,75,0,6,7,9,15,80,37,2
740,5,22,136,1,61,1,10,4,5,12,59,25,2
780,4,34,176,2,51,0,10,5,5,10,48,19,1
820,3,34,120,0,47,0,3,4,11,7,58,14,8
860,4,18,150,0,68,0,5,1,11,8,75,12,4
900,3,15,97,0,76,0,9,3,6,9,63,10,0
940,8,18,130,0,48,0,3,4,8,8,69,15,1
980,2,26,89,0,46,0,1,4,6,16,86,27,1
1020,3,35,74,0,50,0,7,3,12,10,68,13,2
1060,3,13,109,0,37,1,7,3,9,6,66,16,3
1100,2,22,119,0,55,0,5,5,5,10,61,8,1
1140,3,19,203,0,39,0,9,3,12,9,50,13,2
1180,3,13,232,1,59,0,8,4,4,15,46,14,1
1220,4,13,120,0,74,0,6,5,9,5,43,13,1
1260,3,13,154,1,34,0,6,2,9,5,54,17,1
1300,8,24,193,0,69,0,9,5,9,8,54,14,2
1340,3,16,152,1,44,1,11,3,7,10,47,8,2
1380,11,29,132,0,63,1,11,3,7,11,62,13,0
1420,4,22,158,0,67,0,4,4,5,8,70,8,3
1460,2,41,136,0,55,0,4,6,6,12,61,14,2
1500,7,49,132,0,67,0,6,5,6,11,86,14,2
1540,1,32,105,0,62,0,13,3,8,4,69,10,2
1580,5,24,139,1,81,0,10,2,8,14,86,6,2
1620,6,15,184,0,32,0,8,3,3,5,63,10,0
1660,7,12,137,0,46,0,6,3,3,8,83,9,3
1700,1,24,144,0,26,0,5,3,13,9,96,8,2
1740,8,27,116,0,10,0,8,5,4,18,71,7,2
1780,3,24,247,0,17,0,18,3,5,12,106,7,2
1820,7,28,73,0,46,1,12,8,5,10,103,13,3
1860,1,28,164,1,54,1,8,4,6,13,84,14,0
1900,9,18,93,0,57,0,6,4,9,9,63,8,1
1940,4,24,98,1,51,0,6,1,11,12,115,13,0
