"depths","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
15,2,8,5,3,14,5,139,0,10,57,0,0
20,0,2,8,6,11,5,155,0,6,58,1,0
25,2,1,16,2,8,3,141,0,8,58,0,0
35,2,4,19,3,5,4,146,0,9,48,0,0
45,0,4,19,2,11,3,140,0,9,61,0,0
55,1,1,10,1,13,2,160,0,8,50,0,0
60,4,3,2,3,9,5,190,0,8,75,0,0
65,0,2,14,3,6,7,125,0,4,68,0,0
75,3,4,7,9,9,1,182,0,5,33,0,0
80,5,6,6,7,15,3,216,0,13,21,0,0
90,4,8,5,10,4,0,204,0,10,12,0,0
95,3,2,5,5,5,2,208,1,10,16,0,0
100,1,2,2,12,3,2,227,3,9,32,0,0
105,2,2,1,7,0,0,164,4,24,46,0,0
110,1,4,0,9,2,0,103,9,20,90,8,0
115,0,8,0,7,1,1,79,8,18,115,5,0
120,2,7,0,6,1,0,68,16,48,128,10,0
125,0,3,0,2,0,0,26,24,37,158,12,0
130,0,4,0,0,0,0,10,21,35,191,13,0
140,0,1,0,0,2,0,25,16,40,113,32,0
150,1,11,0,0,0,0,26,17,48,82,35,0
160,0,12,0,0,0,0,13,12,51,73,34,0
180,0,10,0,0,0,0,10,15,67,87,45,0
200,0,5,0,0,0,0,11,27,43,83,58,0
220,0,4,0,0,0,0,7,16,38,90,67,1
240,0,8,0,0,0,0,10,37,42,81,62,1
260,0,4,0,0,0,0,6,22,51,71,58,0
280,1,8,0,0,0,0,9,10,59,83,47,0
300,1,5,0,0,0,0,5,28,46,85,81,0
320,0,7,0,0,0,0,5,15,54,82,92,0
340,0,3,0,0,0,0,3,33,16,85,96,0
360,0,2,0,0,0,0,4,19,13,58,133,2
380,0,3,0,0,3,0,10,68,10,42,126,0
390,2,7,0,0,0,0,8,20,12,46,125,0
400,0,9,0,0,0,0,9,1,10,45,102,0
420,0,4,0,0,1,0,1,2,7,46,161,0
440,0,7,0,0,0,0,3,1,2,45,139,0
460,0,9,0,0,0,0,5,4,5,41,149,1
480,0,17,0,0,0,0,6,1,2,55,150,0
500,0,5,0,0,2,0,10,1,6,49,135,1
520,0,9,0,0,0,0,6,0,13,54,129,0
540,0,4,0,0,0,0,5,1,3,50,189,0
560,0,5,0,0,0,0,3,0,5,46,168,0
580,0,4,0,0,0,0,3,2,9,75,146,0
600,0,5,0,0,0,0,8,1,3,60,160,0
620,0,4,0,0,1,0,4,1,8,59,163,0
640,0,3,0,0,0,0,0,0,4,68,183,0
660,0,5,0,0,1,0,3,2,0,57,204,0
680,0,8,0,0,0,0,8,0,3,61,168,1
700,0,8,0,0,0,0,7,0,6,53,177,1
710,1,7,1,0,0,0,7,0,7,77,164,0
720,0,28,0,0,0,0,0,0,3,115,90,0
740,0,99,0,0,0,0,1,5,7,84,46,0
760,0,15,0,0,1,0,3,3,3,141,100,0
780,0,25,0,0,0,0,3,5,1,80,159,0
800,0,4,0,0,0,0,0,4,3,161,104,0
