"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce"
1,8,24,89,5,39,3,8,128,0,7,206,0
3,12,26,96,3,35,5,23,142,0,24,160,2
5,9,44,69,8,44,3,14,232,0,14,176,0
7,2,31,76,14,49,8,11,162,0,13,183,4.5
9,14,21,72,34,31,6,14,161,0,20,147,2
11,7,25,65,52,40,6,19,120,0,13,187,4
13,22,28,69,34,29,6,11,150,0,10,175,8
15,7,35,70,43,37,3,13,164,0,19,128,1
17,10,34,75,29,31,4,19,171,0,19,151,2
19,15,44,84,21,38,6,12,129,0,9,185,0
21,16,26,50,17,49,17,15,109,1,11,225,3
23,7,37,70,27,43,3,8,131,0,14,178,2
25,7,43,49,18,38,8,10,139,0,7,200,3.5
27,12,54,44,22,34,9,21,128,0,9,191,0
29,13,41,49,14,61,12,8,141,0,14,188,0
31,6,47,80,24,44,15,23,115,0,13,175,1
33,12,44,68,22,36,5,15,161,0,6,173,0
35,17,22,58,8,34,5,22,147,0,13,208,2
37,7,49,67,5,43,8,17,132,0,22,193,0
39,11,62,50,3,29,6,16,150,0,21,187,0
41,11,61,49,18,32,5,11,148,0,18,182,1
43,15,50,45,8,35,7,15,144,0,16,183,0
45,16,50,55,5,26,12,18,193,0,25,150,0
47,16,41,48,5,41,5,12,175,0,18,172,1
49,14,47,49,21,28,6,20,153,0,16,167,2
51,8,58,65,7,37,13,12,158,0,20,168,0
53,15,51,49,4,26,7,19,199,1,11,163,0
55,8,41,37,3,39,5,13,169,0,9,195,0
57,11,42,46,6,26,6,13,158,0,14,201,2
59,12,62,51,6,43,6,12,190,0,17,124,0
61,10,58,54,3,25,8,12,210,0,10,148,0
