"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce"
0,0,7,48,0,3,7,23,299,0.5,21,157,0.5
4,2,6,40,0,9,6,25,227,0,23,95.5,4
8,0,5,47,0,2,10,17,235,0,23,108.5,7
12,1,9,40,0,7,8,18,221,0,29,101,3
16,1,7,49,1,2,2,21,217,0,21,120,7.5
20,2,13,32,1,3,5,14,232,0,24,75,4
24,0,5,47,2,8,11,17,241,0,30,69.5,8
28,2,10,50,1,9,8,16,234,0,21,75,5
32,0,8,41,5,10,6,13,239,0,34,77,2.5
36,0,11,37,1,9,10,8,273,0,25,44,3.5
40,5,15,43,5,5.5,9,16,220,0,26,83.5,3.5
44,1,11,44,1,10.5,4,12,262,1,21,62,4
48,6,9,38,6,11.5,13,8,259,1,23,61,8
52,4,19,30,2,15,3,14,260,0,28,61,1
56,3,12,38,3,11.5,15,11,249,0,26,65,4
60,2,8,34,1,12,14,7,240,0,25,68,0
64,2,16,40,2,13,13,22,253,0,14,73.5,5.5
68,3,20,69,5,20,5,11,250,0.5,19,71,3
72,1,12,52,3,16,8,15,267,0.5,19,64.5,6.5
76,5,8,49,1,18.5,16,22,224,0.5,28,70,3
80,4,10,46,1,7,15,22,251,0,15,75.5,7
84,3,19,43,5,11,17,9,280,0,25,57,1.5
88,0,13,33,4,9.5,18,13.5,298,1.5,24,50,2.5
92,1,22,51,1,27,13,6,266,1,15,65,1
96,2,23,50,3,24.5,20,16,283,0,17,66,1
100,7,20,52,6,10,18,12,279,0,14,48,1.5
104,3,21,42,1,16,17,23.5,278,3.5,25,57.5,7
108,1,26,50,2,15,12,20,290,0,16,38,4
112,2,18,38,1,13,17,17,293,0,22,56.5,3
116,5,32,42,0,11,14,9,280,0,19,40,5.5
120,3,17,50,1,16,24,12,277,0.5,23,51,1
124,4,12,56,3,14,21,15,286,0,16,41.5,0
128,4,18,56,2,21,14,12,339,0,26,58,5
132,3,22,54,1,10,22,4,279,0,11,57.5,1.5
136,5,12,41,3,14.5,24,19,292,0,14,60.5,5
140,3,22,49,3,9,18,9,290,0,7,62,2
144,1,22,41,2,22.5,14,22,331,0,19,69.5,1.5
152,1,25,43,0,15,25,12,278,0,16,48,0
156,3,19,51,3,13,20,7,303,0,15,45.5,1
160,5,15,58,0,18,14,4,284,0,15,45,1.5
164,3,32,60,1,9,16,6,300,0,14,47.5,0.5
168,2,22,56,3,18,11,4,266,0,25,54.5,1
172,0,22,29,1,10,22,4,303,0,17,50,1
176,1,30,42,0,15,19,8,253,0,28,56.5,0.5
184,2,29,48,1,10,17,8,280,0,19,44,2
188,3,32,36,2,16,17,10,292,0,26,36.5,0
192,2,32,37,2,15,22,7,262,0,18,48,0
196,2,29,39,1,19,19,7,271,0,24,44,1
200,1,28,47,0,15,20,8,296,0,24,41.5,1
216,4,21,71,1,12,16,10,267,0,22,51,1
232,5,37,55,0,7,13,3,299,0,20,21.5,1
264,0,45,50,0,9,16,0,291,0,13,30,0.5
280,2,45,38,1,7,15,7,298,0,18,29.5,0
296,3,53,45,1,16,15,6,283,0,15,25,0
312,2,87,56,2,8,9,10,252,0,24,23.5,0
328,1,80,53,3,8,4,9,253,0,25,23,0
344,1,126,47,3,8,4,6,219,0,24,27,0
360,6,139,47,0,3,5,5,202,0,22,35.5,0.5
376,3,156,34,2,3.5,12,9,202,0,22,25,1
392,3,113,44,2,4,7,9,224,0,31,26.5,0.5
416,5,4,18,0,0,0,0,26,0,57,154.5,41.5
