"depths","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
0,12,186,0,7,0,3,15,29,15,43,4,0
25,10,95,2,6,0,2,8,19,17,10,20,0
50,11,83,2,10,1,0,9,31,11,14,11,0
60,47,100,3,35,0,0,17,24,13,34,39,0
75,19,123,0,17,2,0,43,15,35,69,26,0
90,49,96,3,46,0,0,16,20,18,27,22,0
100,59,160,2,36,0,0,15,10,20,18,4,0
125,51,161,0,48,2,0,15,6,16,23,4,0
150,81,140,1,37,0,0,13,11,36,16,6,0
175,62,125,0,24,2,0,20,10,24,28,6,0
190,43,177,0,13,0,0,35,12,37,44,2,0
200,56,164,1,7,0,4,20,3,22,25,0,0
210,41,176,0,64,0,0,28,7,20,51,2,0
225,45,217,0,64,2,0,34,10,62,46,4,0
240,21,152,2,49,1,1,28,4,21,55,1,0
250,29,128,1,40,1,0,37,7,21,31,1,0
260,18,127,1,48,0,0,27,5,20,81,1,0
275,7,95,1,43,0,1,50,4,32,127,0,0
300,5,93,2,24,0,1,56,9,28,98,1,0
325,1,98,0,22,1,1,50,7,39,122,0,0
350,1,68,0,20,0,1,66,8,29,146,2,0
375,0,93,1,4,0,0,64,1,20,134,0,0
390,0,191,0,9,0,0,79,10,25,180,4,0
400,0,370,1,17,1,2,163,21,91,399,12,0
410,0,539,1,6,0,0,125,23,206,222,30,3
420,0,104,1,2,0,0,21,10,205,92,43,1
430,0,54,0,1,0,0,11,2,89,74,136,2
440,0,32,0,0,0,0,19,1,80,41,90,0
450,0,41,0,0,0,0,41,2,65,78,62,0
460,0,25,0,0,0,1,38,1,103,51,39,0
470,0,0,0,0,0,0,5,0,15,15,9,0
488,0,21,0,2,0,0,6,0,20,16,12,0
