"depths","Beech","Birch","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
88,104,22,11,27,34,185,0,78,13,4,7
98,114,20,21,32,38,157,0,76,15,1,10
108,119,20,10,29,29,181,1,72,12,2,5
118,172,27,17,19,29,199,0,94,10,0,4
128,95,23,8,16,26,217,0,87,15,1,2
138,83,14,12,23,30,178,0,52,10,0,0
148,103,28,8,25,32,205,0,74,21,0,1
158,130,22,5,21,28,212,0,71,29,0,0
168,93,22,4,26,21,179,0,90,14,0,0
188,97,13,7,24,7,202,0,78,20,0,2
198,103,22,2,37,38,206,0,71,24,1,0
208,88,23,2,21,25,218,0,95,14,0,0
218,99,23,2,9,38,272,0,69,20,0,0
228,110,13,4,24,36,213,0,86,13,1,0
238,81,15,7,24,19,264,0,67,18,0,0
248,99,13,5,23,17,221,0,63,9,0,0
258,111,29,13,12,29,198,0,68,11,0,0
262,133,31,20,20,27,248,0,113,21,0,0
265,199,44,21,16,35,264,0,100,23,0,0
268,126,33,33,12,33,167,0,84,16,0,0
278,181,22,42,43,30,237,0,125,16,0,0
288,92,17,61,31,28,261,0,90,28,0,0
298,112,12,20,14,17,191,0,95,27,0,0
308,97,6,23,13,18,195,0,122,18,0,0
318,144,10,25,16,23,161,0,108,26,0,0
328,94,8,16,14,19,177,0,113,16,0,0
338,154,9,16,16,33,153,0,93,12,0,0
348,96,12,23,8,26,224,0,95,28,0,0
358,125,8,26,8,35,214,0,66,34,0,1
368,100,18,31,6,34,180,0,88,58,0,1
378,94,13,37,5,19,301,0,153,54,0,0
388,3,16,30,0,14,227,1,122,233,1,0
398,3,34,33,1,13,173,0,151,297,1,1
408,0,43,10,3,10,129,2,113,249,7,3
418,0,112,11,4,2,65,26,163,173,35,40
428,0,13,6,1,1,23,5,46,135,219,7
438,0,34,10,1,1,36,1,52,113,248,17
448,1,13,1,1,0,51,3,50,51,294,1
457,2,14,3,2,1,72,0,54,49,188,0
