"depths","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
0,40,56,7,10,28,25,112,0,106,53,4,1
5,24,40,11,12,18,24,14,0,87,50.5,0,2
13.5,43,48,13,16,35,29,130,0,108,108.5,1,0
23.5,29,41,9,17,17,16,78,0,64,71.5,2,0
28.5,29,37,13,7,8,16,98,0,80,64.5,1,1
38.5,20,37,6,11,16,14,66,0,76,55.5,1.5,1
48.5,28,40,17,14,8,9,85,0,62,37.5,2,1
58.5,52,35,14,34,27,25,126,0,70,77,1,1
67,38,20,12,25,17,28,139,0,69,79.5,1,0
74,41,40,11,33,25,33,200,0,92,76,0,0
81,37,40,8,27,19,15,140,0,87,71,1,0
88,33,38,9,20,32,20,93,0,56,44.5,0,0
96,45,43,5,25,29,28,80,0,97,40.5,1,0
104,83,76,23,16,30,36,136,0,132,33.5,0,1
115,86,20,4,15,13,32,127,0,105,21.5,0,0
125,79,10,2,15,32,27,74,1,86,28.5,1,0
135,68,26,16,24,35,22,111,0,58,14.5,0,0
145,81,53,4,13,29,21,70,0,84,5,0,0
155,86,35,3,11,32,23,106,0,82,3.3,0,0
165,85,45,7,5,26,17,102,0,84,6,0,0
175,82,46,5,14,18,21,88,0,68,5,1,0
180,90,44,11,13,15,23,110,0,101,5,0,0
190,90,34,15,11,11,28,81,0,112,3,0,0
195,92,47,3,9,17,32,60,0,87,7.5,0,0
205,106,58,7,15,25,32,65,0,90,4,0,0
215,100,46,5,15,25,37,52,0,108,1.5,0,0
225,112,38,4,15,22,38,77,0,115,10.5,0,0
235,77,19,4,6,24,32,63,0,85,7,2,1
245,77,31,5,5,27,19,117,0,85,8,0,0
255,87,88,6,4,16,24,66,0,114,10.5,0,0
265,85,31,6,11,25,49,62,0,94,8,0.5,0
275,88,50,0,7,23,24,97,0,109,16.5,0,0
280,72,33,1,10,33,28,105,0,87,9,0.5,0
290,52,48,4,6,32,31,108,0,83,11,0,0
295,90,45,1,9,16,26,108,0,73,10.5,0,0
305,76,28,1,12,12,28,43,0,109,8,0,0
315,115,68,0,6,19,34,40,0,82,7,0,0
325,86,42,0,10,7,35,56,0,105,6,0,0
335,130,29,2,7,16,28,57,0,66,10,0,0
345,80,47,2,3,11,34,66,0,80,6,1,2
355,84,37,0,13,18,39,91,0,96,22,1,0
360,60,20,2,1,9,18,99,0,83,16,1,0
365,57,22,2,6,5,15,103,0,81,9,1,0
375,95,40,0,9,19,23,111,0,122,6.5,0,0
380,100,38,1,2,19,26,91,0,77,2,0,0
395,85,16,0,11,22,34,87,0,91,9,0,0
405,67,37,1,3,26,30,104,0,113,5,1,0
415,78,25,2,6,9,25,88,0,110,8,0,0
425,129,48,1,3,7,42,66,0,119,6,2,0
435,118,34,2,3,24,28,65,0,112,6.5,0,0
445,128,34,0,14,19,29,77,0,115,14,0,0
455,151,35,0,22,21,47,68,0,155,10,0,0
465,65,24,0,38,15,42,46,0,121,7.5,0,0
475,108,16,0,29,13,32,77,0,103,8,0,0
481,128,22,0,34,19,15,82,0,129,11.5,0,0
491,81,16,1,41,15,26,69,0,116,7.5,1,0
495,79,19,0,60,22,40,98,0,162,16,0,0
505,98,28,0,32,23,22,105,0,100,6.5,0,0
515,103,13,0,28,38,23,82,0,111,11.3,0,0
525,128,9,0,49,9,22,43,0,133,5,0.5,0
535,104,12,0,13,12,19,42,0,118,10,0,0
545,105,9,0,15,14,38,65,0,114,9.5,0,0
555,136,22,0,28,19,46,95,0,193,18,0.5,0
565,144,14,2,21,16,27,55,0,162,6,0,0
575,156,18,0,14,8,33,54,0,143,9,0,0
580,119,11,0,16,5,36,74,0,158,9.5,0,0
590,80,13,1,34,14,23,75,0,135,7,0,0
595,127,13,0,23,14,33,110,0,136,16,0,0
605,146,5,1,39,10,46,60,1,131,14,0,0
615,126,15,0,22,15,44,97,0,194,22,2,0
625,134,17,0,107,8,36,66,0,131,19,0,0
635,53,23,0,186,3,44,57,0,92,54,0,1
645,29,11,0,148,3,13,77,0,54,54.5,1,1
655,10,20,0,41,6,21,171,0.5,84,98,3,0
665,2,19,0,72,2,11,97,0,55,99,0,0
675,3,40,0,22,4,18,146,3,112,165,0.5,2
680,1,38,0,12,2,6,121,1,65,265,0,1
690,2,55,0,11,2,13,142,5,77,169,2.5,1
695,1,78,0,2,1,9,116,5,86,232,1.5,5
705,1,68,0,5,1,12,57,13,95,199.5,11.5,7
715,0,16,0,4,1,8,57,5.5,69,165.5,44,19
725,0,21,0,4,0,1,24,2,47,78.5,146,13
735,0,13,0,5,0,2,21,3,35,79.5,237.5,13
745,0,8,0,2,1,2,51,4,67,86.5,255,21
755,2,5,0,0,1,0,52,1,44,38,212,2
765,0,11,0,0,2,3,60,2,80,33,210,1
775,0,4,0,0,0,2,14,1,18,20,43,0
780,0,28,0,0,1,5,49,5,70,38.5,128.5,1
790,1,52,0,0,0,6,79,0,66,111.5,117.5,0
795,0,17,0,0,0,3,32,2,35,44,80.5,1
805,0,26,0,0,1,4,45,1,23,41.5,47,1
815,0,20,0,0,1,1,77,0,54,56,107.5,2
825,0,18,0,0,0,2,16,0,22,17,56,0
835,0,12,0,0,0,4,20,1,30,66.5,84,0
845,0,2,0,0,0,0,7,0,4,6,12,0
855,0,7,0,0,0,0,19,3,14,7.5,55.5,3
