"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce"
0,0,0,32,0,4,4,1,54,1,18,115.5,0
4,3,0,23,0,2,3,6,56,0,16,118,1.5
8,0,1,36,0,2,1,5,57,0,12,139,2
20,3,0,52,0,2,1,2,78,1,48,100.5,2.5
28,0,6,19,0,1,0,0,25,0,19,46.5,2.5
40,4,10,35,0,8,2,4,32,2,22,59.5,6
44,1,5,64,0,10,1,2,53,1,14,72,1
52,1,5,31,0,9,1,5,63,0,23,135,13.5
60,4,5,28,0,21,3,2,65,2,12,49.5,9
68,2,7,25,1,4,1,4,49,0,9,63.5,2.5
72,2,6,79,1,39,4,4,59,1,12,60.5,11.5
80,1,5,30,0,22,1,2,106,1.5,24,42,11.5
88,4,5,51,1,16,4,5,107,0,29,72,13.5
92,4,15,54,0,11,6,5,109,0,32,99,12.5
96,5,10,51,0,23,2,4,186,0,27,65.5,9
108,1,7,22,0,13,4,9,116,3,17,68.5,6.5
116,5,6,24,0,18,5,3,105,0.5,13,49.5,7
132,2,7,16,0,10,3,1,60,2,11,22.5,9.5
148,1,6,41,0,8,4,2,124,0,21,58.5,11.5
