"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
0,1,2,20,1,4,1,5,41,0,8,161,1,0
0,0,3,29,1,1,3,4,74,0,15,156,1,0
25,4,13,83,5,5,7,9,137,0,23,197,3,0
28,1,10,38,2,4,2,3,55,0,12,118,3,0
31,0,15,31,3,6,1,7,63,0,15,130,3,0
35,4,12,33,1,9,4,1,69,0,11,96,1,0
45,4,13,37,3,12,8,3,116,1,13,137,1,0
55,4,36,27,1,11,9,1,73,1,11,162,1,0
65,4,20,32,1,10,6,4,52,0,15,206,0,0
75,4,17,20,1,2,7,9,105,0,12,170,0,3
82,1,8,15,0,9,0,1,124,0,17,128,0,0
101,3,14,23,1,4,5,5,67,0,12,192,0,0
105,6,27,36,0,7,6,7,133,0,19,149,0,0
115,2,33,20,0,1,10,6,96,0,16,214,1,0
125,7,32,43,2,0,4,11,122,0,28,147,0,0
135,3,29,35,3,8,5,6,97,0,17,129,1,0
145,8,37,50,1,27,2,8,248,0,40,210,0,0
155,5,27,21,1,16,1,1,135,0,23,175,1,0
165,3,24,14,1,15,1,3,116,0,8,212,2,0
175,6,39,22,0,29,3,2,164,0,25,167,0,0
185,3,30,20,0,22,1,5,151,0,22,128,0,0
191,3,11,27,1,22,1,2,176,0,22,139,0,0
205,7,12,22,0,11,0,4,126,0,18,120,0,0
215,4,18,22,1,10,2,5,87,0,21,139,1,0
225,2,18,22,1,9,1,2,168,0,24,127,0,0
235,1,2,14,0,7,2,1,100,0,13,129,0,0
245,1,28,11,1,11,2,3,129,0,12,270,0,0
255,3,12,21,0,5,3,5,131,0,16,150,1,0
265,0,15,16,0,5,1,1,112,0,17,212,1,0
275,3,23,19,0,6,2,2,148,0,21,162,0,0
285,4,16,18,0,4,0,4,160,1,13,147,1,1
293,2,6,8,0,6,0,3,121,0,14,160,2,0
305,2,8,22,0,5,0,4,192,0,26,200,1,0
315,4,5,33,0,7,2,4,145,0,29,233,2,0
325,0,4,23,0,16,0,2,61,0,16,274,0,0
335,0,4,20,1,3,0,0,52,1,22,245,2,1
345,3,2,36,0,0,0,5,41,3,12,331,1,0
355,5,2,44,0,3,1,0,29,7,21,282,28,1
365,2,0,34,0,1,0,1,4,8,26,252,104,4
375,1,1,8,0,0,1,0,8,5,23,216,108,2
380,5,1,10,0,0,0,0,10,3,13,195,40,1
385,6,0,11,0,0,0,0,27,2,19,327,94,0
390,5,0,17,0,0,0,0,12,6,15,97,150,0
393,8,0,8,0,0,0,0,13,3,15,54,125,2
428,0,0,1,0,1,0,0,9,3,10,38,111,0
