"depths","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
0,37,145,1,20,2,3,18,12,16,29,21,0
15,37,155,5,33,1,0,14,14,13,23,19,0
27,51,135,3,33,0,0,18,24,22,26,15,0
30,38,155,1,31,0,0,26,9,23,22,18,0
52,50,146,0,31,1,1,15,9,14,19,14,0
77,97,141,2,33,0,0,28,5,22,33,2,0
102,43,174,0,26,0,0,26,5,20,33,0,0
127,36,151,0,45,0,2,26,3,17,37,4,1
142,39,160,1,37,0,0,14,7,20,41,1,0
152,22,142,1,48,0,1,28,4,28,39,5,0
167,29,136,1,68,2,0,20,7,19,46,4,0
177,15,129,2,51,1,1,27,4,30,61,0,0
192,13,114,0,52,0,1,101,5,24,92,2,0
202,9,119,0,41,0,1,40,6,49,94,5,0
217,15,80,0,70,0,1,43,9,36,74,1,0
227,8,82,0,50,0,2,35,7,37,93,4,0
252,3,81,1,37,0,0,47,2,35,93,1,0
277,9,70,0,14,1,1,41,7,34,141,1,0
302,0,62,0,28,0,2,43,4,31,154,1,0
327,2,72,0,19,0,0,66,4,30,134,3,0
352,0,57,1,12,1,0,64,8,31,151,0,0
377,0,95,0,7,1,0,57,1,49,123,0,0
402,1,135,0,1,0,1,109,6,34,106,3,0
407,0,162,0,3,0,1,125,4,28,70,3,0
415,0,48,0,1,1,0,9,3,110,62,59,3
