"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce"
0,0,2,27,0,3,4,7,125,0,13,297,4.5
4,1,1,30,1,3,3,7,133,0,21,289.5,1
8,1,5,36,0,3,3,6,138,0,23,251,2
12,0,1,48,0,1,2,1,120,0,20,280,0
16,1,2,48,1,3,7,7,127,0,24,234,2
20,1,8,58,0,2,4,8,154,1,29,211,0.5
24,1,4,71,4,5,0,3,133,0,21,214.5,1.5
28,1,7,77,2,4,1,2,134,0,23,214.5,1
32,2,8,67,2,8,6,4,112,0,23,233.5,4
36,1,7,66,2,5,4,3,147,0,13,233,1
40,3,13,59,6,10,4,4,155,0,19,202,2
44,1,9,66,3,5,13,2,181,0,11,179.5,4
48,3,11,63,2,9,8,2,160,0,14,188.5,1
52,2,17,51,2,7,6,5,179,0,13,209,1
56,7,16,68,4,4.5,7,3,196,0,18,165.5,1
60,0,16,59,3,7,11,2,165,0,14,204.5,1.5
64,3,10,62,3,11,6,3,148,0,18,197,2.5
68,4,21,49,1,5,8,4,149,0,13,211.5,0.5
72,0,20,48,3,11.5,6,4,160,0,16,214.5,2.5
76,2,12,54,1,7,9,4,167,0,15,206,1.5
80,4,10,66,0,11,14,3,166,0,22,160.5,1.5
84,1,14,70,1,10,11,0,163,0,10,193.5,0.5
88,2,17,60,1,6,12,2,204,0,20,141.5,1
92,2,29,69,0,2,9,8,196,0,22,142.5,1.5
96,2,18,60,4,4.5,7,3,177,0,34,153.5,0
100,1,15,64,0,9,9,10,212,0,25,135.5,0.5
104,1,16,49,0,11,7,6,221,0,22,124,0
108,0,17,57,3,5,9,3,201,0,26,127.5,0.5
112,1,20,50,0,6,12,3,249,0,22,102,0
116,2,28,67,2,9,11,4,259,0,31,73,0
120,0,24,70,2,8,4,2,237,0,22,90.5,0
124,1,19,61,1,4.5,5,4,191,0,24,143,0
128,6,16,61,1,5,4,1,208,0,34,97.5,0.5
132,3,13,68,3,4.5,7,2,242,0,24,77.5,0.5
136,3,25,59,1,1,2,5,227,0,27,109.5,0
