"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.hardwood","Pine","Spruce","Tamarack"
10,12,10,53,1,12,8,11,16,39,19,0,0
50,5,14,43,8,10,1,4,20,33,25,0,0
90,4,16,42,6,52,3,6,36,21,57,1,0
120,5,37,69,9,61,3,13,47,11,73,0,0
140,11,48,92,7,97,5,16,39,19,52,0,0
180,7,41,64,7,109,9,10,48,21,50,1,0
220,10,48,85,8,132,2,8,40,18,63,0,0
300,9,41,70,8,99,2,9,37,15,61,0,0
380,9,24,68,19,93,8,7,54,15,79,0,0
460,3,29,79,23,51,7,5,68,14,70,0,1
540,5,25,78,31,44,9,9,67,13,61,1,0
620,9,29,58,35,55,7,11,79,8,56,0,0
680,12,29,96,49,82,10,17,47,18,41,0,0
700,8,15,81,47,76,10,11,72,12,58,0,0
720,4,18,66,75,47,2,12,40,22,53,0,0
780,9,23,90,40,56,6,9,73,18,34,1,0
860,8,40,56,14,55,8,17,61,30,37,1,0
940,16,54,49,9,103,6,15,46,13,45,0,0
1020,5,38,58,5,116,2,3,49,9,46,0,0
1080,2,50,86,10,157,3,11,46,14,35,0,0
1100,5,44,86,9,152,6,14,47,15,15,0,0
1140,14,48,72,13,113,2,10,42,15,35,0,0
1160,5,50,86,6,87,1,11,54,17,25,0,0
1180,8,50,91,11,86,5,13,44,12,42,1,0
1260,6,41,96,7,120,3,6,44,15,36,0,0
1340,18,66,100,1,111,5,12,41,20,48,0,0
1420,5,45,76,6,133,5,10,34,18,47,0,0
1500,8,45,76,12,119,5,9,38,14,45,0,0
1580,17,51,69,13,47,7,24,41,23,30,0,0
1660,6,65,79,17,82,4,13,43,22,42,0,0
1740,7,58,91,11,89,5,6,42,21,73,0,0
1800,13,43,49,8,100,8,19,48,15,101,0,0
1820,10,46,53,6,116,6,9,43,18,58,0,0
1840,9,51,44,7,129,4,6,38,12,88,0,0
1890,13,35,64,11,98,5,8,60,19,71,0,0
1970,7,43,53,16,88,10,13,75,18,81,0,0
2050,7,48,32,19,86,7,13,73,14,71,0,0
2130,9,63,44,15,110,3,12,63,26,64,0,0
2210,8,54,38,9,97,5,13,60,27,106,1,0
2310,13,35,35,19,79,7,7,73,16,94,0,0
2370,6,46,28,18,75,9,15,67,22,105,0,0
