"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.hardwood","Pine","Spruce","Tamarack"
0.5,14,7,72,7,13,6,11,138,24,35,1,1
4.5,4,6,65,12,10,6,11,112,28,32,0,0
7.5,6,8,65,13,19,5,9,126,32,50,1,0
11.5,7,9,56,20,18,9,11,113,37,45,3,0
13.5,6,11,51,17,18,7,7,159,49,37,4,0
17.5,4,13,74,24,14,2,7,131,27,41,2,0
19.5,5,9,55,8,22,8,9,103,38,70,2,0
23.5,6,11,45,36,23,7,11,113,23,66,6,0
25.5,7,16,40,21,36,11,5,116,23,53,2,0
31.5,0,17,45,17,34,7,4,119,31,73,2,0
37,6,27,21,33,23,6,9,120,29,43,2,0
39,7,14,40,20,22,4,4,129,24,52,2,0
41,3,20,44,24,24,14,4,127,35,49,5,0
45,4,20,23,10,28,16,7,135,32,77,1,0
49,5,17,42,22,33,7,5,113,23,51,2,0
53,0,9,35,18,24,8,4,137,24,57,6,0
59,6,20,49,17,24,4,2,119,29,56,4,2
