"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
1,4,2,16,1,1,6,9,83,0,16,17,0,2
8,15,2,29,6,1,4,8,91,0,47,21,0,0
17,11,0,28,3,3,4,6,107,0,31,18,1,0
23,2,4,21,1,1,4,9,64,0,16,15,3,0
27,13,3,19,2,1,6,5,56,0,28,13,1,0
33,12,0,24,11,1,9,6,74,0,55,12,0,0
37,5,9,15,16,14.5,4,2,52,0,60,19,0,0
41,10,5,9,19,9,5,5,97,0,53,15,0,0
43,5,4,11,33,8,7,2,89,0,62,22,0,0
46,3,0,12,4,15,5,3,54,0,34,20,1,3
51,4,8,16,25,17,15,2,107,0,82,20,0,0
58,5,14,14,22,12,17,1,114,1,64,23,2,1
