"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce"
1,4,4,41,2,2,9,6,172,0,21,222,4
2,8,6,39,2,8,3,7,178,1,26,227,3
4,6,5,46,0,4,2,8,124,0,18,268,5
6,0,5,39,1,12,9,7,121,0,26,231,4
8,2,16,46,6,8,3,4,128,0,26,234,2
10,3,9,50,4,11,8,3,150,1,24,196,3
12,3,11,51,1,10,6,6,100,0,19,269,2
14,2,11,48,2,10,4,4,131,0,13,246,7
16,3,11,43,4,11,4,5,124,0,13,238,7
18,2,11,40,2,15,4,2,177,0,19,232,3
20,3,9,39,3,15,6,4,152,0,19,265,6
22,2,10,38,3,5,6,1,132,0,28,229,3
24,5,8,60,3,27,6,9,149,0,12,203,3
26,7,18,56,3,12,0,6,143,0,28,255,3
28,0,12,54,1,33,8,5,124,0,17,217,6
30,7,16,67,6,35,8,5,152,0,29,195,5
32,5,14,41,0,33,7,11,154,2,22,276,7
34,1,8,46,6,25,8,6,133,0,14,214,7
36,4,11,40,2,17,7,4,135,0,15,237,10
38,2,9,32,3,22,12,5,127,0,24,244,6
40,1,13,38,1,6,5,5,143,0,12,241,2
44,3,8,26,3,26,8,4,164,0,16,206,6
48,4,13,29,3,23,8,7,127,0,14,246,5
52,3,14,49,1,22,10,7,164,0,20,273,4
56,2,8,43,3,22,9,5,131,0,12,275,8
60,1,17,32,1,6,8,8,133,0,11,278,5
64,4,12,58,5,22,5,6,171,1,13,278,5
68,5,4,39,4,21,5,3,138,1,13,234,4
72,10,18,30,3,34,12,3,116,0,17,225,7
76,6,11,49,2,23,10,4,108,0,16,223,2
80,5,12,27,2,20,16,3,142,1,10,261,8
84,4,15,50,1,21,10,3,161,0,16,212,5
88,2,7,53,6,17,14,9,173,0,11,284,2
92,2,12,30,3,22,7,3,144,0,9,219,2
96,2,23,48,1,17,6,5,132,0,13,248,2
100,4,14,34,5,22,14,6,155,0,12,202,6
104,6,15,48,1,16,7,8,147,0,15,224,2
108,12,20,104,6,42,11,24,178,0,38,374,5
112,7,22,42,1,24,10,7,139,0,11,269,3
120,7,21,50,3,21,10,2,141,0,17,232,6
128,3,15,34,1,12,5,2,142,0,20,265,1
136,3,13,35,0,11,11,2,129,0,21,268,0
144,5,17,46,2,15,14,2,196,0,25,213,3
152,6,17,45,1,19,19,7,173,0,24,225,1
160,5,43,93,5,27,17,17,254,1,48,334,3
168,6,34,40,4,33,13,3,164,0,23,177,2
176,5,15,36,3,27,12,7,172,0,21,159,3
184,7,24,34,1,26,17,4,181,2,25,204,2
192,12,31,73,5,32,23,7,220,0,42,290,4
200,5,22,55,5,28,8,9,167,0,48,158,2
208,3,20,50,5,29,11,3,131,1,21,200,2
216,5,26,55,0,22,12,5,172,0,39,235,2
