"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce"
0.5,9,8,64,8,17,4,9,128,0,22,34,0
3.5,6,11,72,5,13,8,8,157,0,20,33,1
6.5,4,8,54,10,20,8,14,145,0,19,31,2
10.5,13,14,68,12,8,5,7,142,0,22,18,1
13.5,6,7,71,18,18,3,10,121,0,36,39,1
16.5,6,29,81,34,18,2,5,99,0,26,48,6
17.5,3,20,59,32,24,4,10,84,0,37,61,2
18.5,3,16,57,29,28,2,6,77,0,27,75,2
20.5,3,21,52,13,48,6,11,95,1,17,69,7
22.5,3,11,43,12,51,0,7,90,0,25,80,2
25.5,6,16,43,21,61,2,11,93,0,32,79,1
28.5,3,26,37,16,43,2,5,93,0,23,88,5
31.5,2,24,42,10,54,4,8,84,0,11,116,3
34.5,4,26,52,17,53,5,15,99,0,27,124,6
37,6,20,52,11,58,6,6,88,0,31,124,2
43,6,24,29,16,64,10,8,70,0,26,112,5
47,5,27,41,10,45,8,7,85,0,18,112,3
53,0,18,27,5,57,2,3,87,0,19,123,2
57,6,15,41,9,41,7,6,76,0,19,104,4
61,11,31,44,13,61,8,8,110,0,18,112,4
