"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.hardwood","Tamarack"
1,2,0,2,0,0,0,0,2,10,0
2,3,0,3,0,0,1,0,0,4,0
3,0,0,1,0,2,2,1,0,8,0
4,0,0,0,0,0,0,0,0,1,0
5,0,0,0,0,0,0,0,0,5,0
6,0,0,2,0,0,1,0,6,7,0
7,0,0,0,0,0,0,0,0,5,0
8,0,0,0,0,1,0,0,0,3,0
9,0,0,0,0,2,0,0,1,3,0
10,0,0,1,0,1,0,2,0,2,0
11,0,0,1,0,1,0,2,0,3,0
12,0,0,1,0,0,0,1,0,1,0
13,4,0,0,0,0,2,0,2,7,0
14,2,0,1,0,0,0,5,2,10,0
15,0,0,0,0,1,0,2,0,10,0
16,3,0,3,0,1,3,0,0,3,0
17,0,0,0,0,1,2,3,0,3,0
18,0,0,0,1,1,0,1,0,6,0
19,3,1,3,3,2,0,4,1,11,0
20,0,0,11,1,3,0,3,0,12,0
21,3,0,4,0,2,0,3,5,19,0
22,2,0,3,0,8,0,3,0,24,0
23,0,0,7,0,2,2,2,2,23,0
24,0,0,6,0,8,0,0,3,25,0
25,5,0,2,0,7,0,3,5,17,0
26,2,0,4,0,10,2,1,5,32,0
27,4,0,4,0,15,2,1,5,31,0
28,6,0,2,0,18,2,4,9,36,0
29,1,0,4,0,17,1,4,2,23,0
30,6,0,3,0,11,1,6,7,29,0
31,2,0,5,0,16,0,5,9,31,0
32,1,0,9,0,19,0,10,5,22,0
33,2,0,0,0,30,0,2,3,31,0
34,2,0,0,0,40,2,9,8,26,0
35,1,1,5,0,24,4,4,11,26,0
36,2,4,1,0,49,1,4,12,24,0
37,3,5,1,0,34,3,3,11,33,0
38,2,3,2,0,37,0,1,7,23,0
39,3,0,1,0,29,2,1,6,22,0
40,0,0,1,0,40,1,1,5,19,0
50,1,1,0,0,31,6,1,11,19,0
60,2,1,5,0,25,3,1,10,15,0
70,5,3,2,0,37,0,1,8,29,1
80,2,3,1,1,55,3,4,11,21,1
90,1,3,3,0,47,2,1,10,34,0
100,1,1,1,0,41,3,1,11,21,0
113.16,0,2,1,0,65,3,3,9,42,0
126.32,4,2,4,1,38,4,4,16,45,0
139.48,2,5,2,0,33,3,6,9,37,1
152.64,4,8,3,0,33,6,7,23,38,0
165.8,1,6,6,0,42,3,3,16,24,0
178.96,3,11,5,0,49,4,8,17,47,0
192.12,1,7,4,0,52,3,4,11,25,1
204.94,9,5,6,0,29,7,4,16,33,0
217.76,3,13,7,0,16,2,4,17,24,0
230.58,4,10,6,1,20,2,3,11,39,0
243.4,1,10,6,0,40,9,3,17,36,0
256.22,2,13,4,2,16,4,6,18,33,0
269.04,3,9,3,1,14,4,7,19,43,0
281.86,1,8,2,1,14,3,8,7,30,0
294.68,0,6,3,0,16,5,2,15,26,1
307.18,1,8,1,0,10,1,0,15,30,0
319.68,2,13,3,0,12,0,3,8,28,0
332.18,3,6,3,0,12,6,3,6,28,0
344.68,3,14,5,0,18,2,5,13,40,0
357.18,3,13,3,0,17,4,3,14,31,0
369.68,2,18,2,0,23,1,7,18,34,0
382.18,0,15,3,0,12,3,9,18,33,0
394.68,1,10,2,0,13,2,7,17,26,0
406.88,1,26,7,0,18,3,17,23,26,0
419.07,2,9,3,1,13,6,5,30,31,0
431.27,5,8,4,0,11,4,8,43,35,0
443.46,5,10,6,0,4,8,5,43,43,0
455.66,7,7,3,0,9,8,4,43,32,0
467.85,4,10,2,0,9,7,12,27,43,0
480.05,1,10,8,0,3,5,9,38,32,0
492.25,13,32,11,0,7,8,9,45,56,0
504.37,7,23,5,0,7,4,16,49,55,1
516.49,4,29,6,0,3,6,4,57,47,0
528.61,9,21,8,1,5,7,20,64,53,0
540.73,6,30,7,1,5,4,12,60,60,0
552.85,10,17,15,0,7,4,15,86,68,0
564.97,11,20,11,5,11,5,8,78,69,0
577.09,7,27,10,1,6,11,24,75,69,0
589.21,7,37,22,1,6,4,8,66,89,0
601.41,13,23,8,0,7,14,16,54,96,0
613.61,6,35,10,0,9,10,8,59,57,0
625.8,3,21,12,0,16,5,9,17,42,0
638,3,15,12,0,13,3,8,27,56,0
650.19,1,10,5,0,16,0,4,9,19,0
662.39,4,14,4,0,8,1,5,11,25,0
674.58,2,5,2,1,7,3,1,4,6,0
686.78,0,7,2,0,11,0,2,9,11,0
698.9,0,6,5,0,34,2,7,2,10,0
711.02,1,6,5,0,20,2,8,11,16,0
723.14,1,7,0,0,18,2,3,16,17,0
735.26,2,9,2,0,19,4,6,19,26,0
747.38,4,5,1,0,51,0,5,11,11,0
759.5,5,12,2,0,39,4,5,17,20,0
771.62,4,9,1,0,27,2,5,17,13,0
783.75,0,7,1,0,26,3,5,16,23,0
795.87,2,10,2,0,26,2,2,11,20,0
808.26,4,10,2,1,42,4,5,21,31,0
820.91,3,2,3,0,22,0,2,20,19,0
833.57,1,2,0,0,27,0,2,16,15,1
846.23,3,4,3,0,16,0,3,19,25,0
858.89,2,7,3,0,18,1,0,14,21,0
871.55,0,1,3,1,23,0,1,11,15,1
884.21,2,1,5,0,18,0,7,15,14,2
