"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
740.5,9,5,71,0,30,0,4,11,6,29,32,19,0
748.5,8,9,87,0,22,0,5,8,5,38,28,13,0
756.5,9,12,80,0,21,0,1,11,4,37,26,12,0
764.5,6,11,88,0,19,0,2,7,2,32,26,17,2
768.5,6,15,87,0,11,1,2,6,5,59,25,14,0
770,7,20,88,0,20,0,2,10,3,36,30,7,0
772.5,5,6,99,1,9,0,2,8,8,52,23,3,0
780,3,5,130,0,16,0,4,14,3,41,28,7,0
800,10,17,102,0,20,0,2,9,3,42,32,17,0
820,5,37,114,0,70,0,5,13,3,9,30,17,2
840,7,40,72,1,116,0,4,10,2,9,14,7,1
857,6,36,85,3,117,2,5,11,3,11,25,4,0
877,5,31,97,1,133,0,9,7,0,4,22,3,0
897,9,33,132,1,86,0,8,7,0,16,19,1,0
917,8,45,147,0,77,0,8,9,4,16,20,1,3
937,12,23,94,0,43,0,11,10,1,20,27,0,0
962,6,38,123,0,52,0,13,8,1,21,34,2,0
977,9,39,130,2,55,0,9,9,1,13,25,5,0
997,9,33,119,0,62,0,6,14,1,11,51,4,0
1007,0,38,181,0,40,1,2,41,5,28,45,0,0
1017,6,35,114,3,30,0,10,18,0,19,65,1,0
1023,0,25,161,0,20,0,5,42,1,20,47,0,0
1028,0,32,167,0,26,0,7,29,0,15,51,1,1
1037,12,41,140,0,11,1,10,22,0,44,48,2,0
1044,0,39,126,0,12,0,11,32,2,12,33,1,0
1050,13,33,147,0,14,0,11,33,1,29,34,0,0
1055,0,27,148,0,16,0,10,36,1,19,58,3,0
1060,31,40,139,0,23,0,9,20,1,26,66,0,0
1070,28,59,216,0,20,2,6,19,0,21,90,1,1
1072,0,59,181,0,27,0,6,22,4,16,57,2,0
1074,0,35,152,0,21,0,7,28,0,13,47,0,0
1077,0,50,168,0,60,0,7,15,0,15,59,2,0
1080,6,39,119,0,97,1,7,5,0,13,44,0,0
1085,0,18,107,0,104,1,7,20,0,11,48,1,0
1090,0,20,88,0,93,0,8,10,1,21,49,3,1
1100,16,29,99,0,91,0,2,12,0,9,51,2,1
1120,8,31,110,0,81,0,8,6,0,15,44,2,0
1140,7,11,84,0,122,1,3,6,1,13,48,2,0
1165,7,5,112,0,83,0,8,30,3,14,70,2,0
1180,11,3,95,0,108,0,3,23,0,10,77,1,0
1200,7,2,50,1,58,0,4,26,0,16,121,0,0
1220,4,2,35,0,102,0,4,20,1,22,122,0,0
1240,8,0,50,0,24,1,1,19,3,14,257,7,0
1265,5,0,53,0,18,0,5,22,3,11,182,2,0
1280,7,0,77,0,18,0,1,33,3,19,140,2,0
1300,8,1,57,0,23,0,2,42,5,11,147,3,0
1320,13,0,51,0,8,1,3,46,7,15,174,5,3
1340,6,0,68,0,5,0,4,29,1,12,166,2,1
1365,8,0,90,0,6,0,4,40,4,23,136,4,1
1380,7,0,71,0,3,0,5,37,3,21,195,2,3
1400,4,0,79,0,1,0,1,36,4,15,166,5,4
1420,9,0,77,1,2,0,1,20,9,32,158,5,2
1440,3,1,90,0,2,0,0,21,9,23,143,7,1
1465,5,1,65,1,1,0,0,7,7,22,192,6,0
1480,2,0,62,0,1,0,1,14,8,18,197,9,2
1500,6,0,78,0,1,0,0,16,9,19,168,9,0
1520,3,0,74,0,1,0,2,15,3,17,180,12,5
1540,5,0,88,0,3,0,1,25,18,34,118,17,7
1562,6,0,119,0,2,0,0,21,16,27,103,12,9
1580,6,0,148,0,0,0,0,21,18,35,58,19,7
1600,2,0,71,0,0,0,0,14,20,20,91,78,18
1620,6,0,53,0,1,0,2,13,2,45,41,103,25
1640,1,0,44,0,4,0,0,11,4,28,46,158,2
1680,1,0,14,0,0,1,0,0,1,23,35,67,0
1720,0,0,0,0,0,0,0,0,1,2,6,12,0
1760,0,0,8,0,1,0,0,0,2,12,44,103,0
1800,0,0,2,0,0,0,0,3,1,3,48,228,0
1840,0,0,6,0,0,1,0,2,0,25,44,16,1
1880,1,0,15,0,0,1,0,12,2,65,58,35,0
1940,0,1,12,0,0,1,0,2,2,45,109,57,0
2000,0,0,3,0,0,0,0,1,1,26,43,8,0
2040,1,0,10,0,0,1,0,6,1,32,136,40,0
2100,0,5,22,0,1,0,0,8,4,32,80,83,0
2140,5,21,12,0,0,8,0,23,2,37,64,82,0
2200,5,18,24,0,0,3,0,29,7,31,98,51,0
