"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
5,26,23,180,38,34,6,8,157,0,112,71,11,0
15,47,51,261,77,74,9,16,226,0,227,214,16,0
20,38,50,223,67,43,5,18,174,3,152,164,17,1
25,7,19,90,7,44,1,5,69,0,45,60,8,1
30,45,51,404,28,138,18,40,255,1,100,119,13,0
35,17,17,175,27,70,5,5,127,0,38,68,9,0
40,16,35,231,4,154,14,5,227,1,33,70,5,0
45,21,186,218,1,119,22,15,289,0,254,311,2,0
55,14,15,187,1,76,16,25,385,1,57,328,1,0
60,4,36,185,0,21,15,14,310,0,39,70,1,0
65,14,49,292,2,222,24,35,405,1,224,214,3,0
70,7,44,151,0,127,6,9,186,0,73,55,1,0
75,9,26,326,0,164,2,18,355,0,97,206,0,0
80,18,1,64,0,72,1,21,218,0,190,259,0,0
85,1,0,154,0,8,0,5,80,1,381,346,3,3
95,2,1,225,0,0,0,22,85,10,397,77,46,3
102,0,0,86,0,3,0,0,7,20,54,91,348,19
105,0,0,148,0,4,0,0,12,46,77,137,317,9
110,0,0,59,0,2,0,0,10,15,30,74,283,7
115,0,3,46,0,2,0,0,9,24,45,85,389,8
120,0,0,50,1,9,0,1,28,29,112,116,325,5
125,0,1,74,0,2,0,0,18,22,69,79,273,6
135,6,1,86,0,2,0,0,33,36,81,160,623,6
145,2,0,35,0,2,1,0,32,21,48,115,466,8
155,2,3,74,1,0,0,0,28,37,73,146,405,19
165,1,2,104,0,2,0,0,43,8,49,141,254,6
170,2,4,55,0,0,1,0,35,37,55,121,397,1
180,5,2,63,0,0,3,0,72,35,63,152,495,0
185,15,1,59,0,0,4,0,77,55,73,127,437,1
195,7,5,58,1,0,0,0,54,15,67,105,366,0
205,7,4,46,0,0,1,2,49,18,60,90,342,0
215,9,7,68,0,0,1,0,73,14,77,87,315,0
225,18,3,82,0,0,2,1,66,34,102,116,448,1
235,6,0,47,0,0,0,2,38,1,54,58,321,1
239,5,1,60,0,0,1,1,53,15,78,72,361,0
245,5,0,51,0,0,1,1,35,13,42,63,370,0
252,4,0,67,0,0,0,0,40,2,62,51,388,2
255,6,0,60,0,0,2,1,55,1,65,54,343,0
265,4,1,49,0,0,0,1,73,8,75,88,526,0
270,12,1,61,0,0,0,1,50,5,62,59,403,0
275,4,1,76,0,0,0,1,47,0,126,57,271,0
285,14,1,133,0,1,3,1,71,0,141,54,332,0
295,9,1,181,0,0,0,1,75,1,150,64,155,0
298,6,1,222,0,0,0,2,47,1,215,71,137,0
305,5,0,180,0,0,2,0,62,1,189,89,89,0
315,6,1,181,0,0,0,0,62,1,211,77,69,0
325,11,0,92,2,1,0,0,51,2,116,83,57,0
335,8,1,52,0,0,3,0,42,1,118,103,47,0
345,9,0,46,0,0,3,0,60,1,104,106,37,0
