"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
1,27,14,112,28,23,4,11,111,0,13,76,2.5,0
3,11,14,121,39,17,6,13,153,0.5,24,93,6,0
5,8,28,119,40,25,10,11,138,0.5,18,110,6,0
7,2,12,75,44,21,4,11,93,0,25,89.5,7,0
9,3,25,82,49,30,6,23,142,0,21,113,12,0
11,4,22,114,30,32,5,4,141,0,21,134,7,0
13,5,32,96,39,26,9,7,143,0,17,153,10,0
15,4,46,115,34,34,6,7,136,1,20,128,6.5,0
17,14,19,104,23,35,14,9,124,0,19,122,13.5,0
19,12,32,95,26,25,9,5,137,0.5,21,140,6.5,0
21,2,33,91,31,40,4,10,149,0,14,127,7,0
23,4,26,93,34,27,9,9,146,0,28,130.5,5,0
25,9,39,98,29,30,8,6,146,1,27,123,5,0
27,15,28,85,37,30,6,6,139,1,32,115.5,4,0
29,7,33,87,35,37,8,8,167,2,14,93,6.5,0
31,9,29,104,29,30,4,13,156,0,28,128,2,0
33,19,20,85,24,33,9,16,113,0.5,24,136,5,0
35,5,34,99,20,37,18,12,154,2,24,115,5,0
37,10,27,95,24,27,12,13,123,1,19,143,8,0
39,6,30,116,28,37,9,5,150,0,13,134.5,8,0
41,13,27,98,25,29,3,6,139,0.5,18,154.5,4.5,0
43,9,26,79,29,36,5,7,125,0.5,15,168,12,0
45,11,42,83,27,35,14,11,123,0,18,155.5,7.5,0
47,8,40,78,34,38,8,10,135,0,16,131.5,6,0
49,10,0,93,41,38,15,9,126,0.5,22,113,6.5,0
51,4,35,87,36,24,12,6,156,0.5,21,141,6.5,0
53,6,39,88,22,39,9,12,129,0,15,135.5,4.5,0
55,6,49,94,17,30,16,13,141,0,10,148,4,0
57,9,37,91,18,39,10,9,154,0,9,131.5,5.5,0
59,6,45,99,27,34,11,11,129,1,15,129,7,0
61,2,27,103,20,51,12,11,133,0,18,132.5,6,0
63,4,40,86,25,52,12,13,102,0,24,139.5,5,0
65,9,35,91,26,36,6,6,120,0,18,153,3.5,0
67,10,41,105,19,48,8,9,98,0,20,147,5.5,0
69,7,52,84,37,34,12,15,119,0,14,143,5.5,0
71,6,49,96,25,39,5,6,136,0,18,140,4.5,0
73,7,32,93,39,31,7,8,133,1,26,124.5,2.5,0
75,5,53,99,27,24,10,11,136,0,12,127.5,4,0
77,7,49,101,36,49,7,9,138,0,14,138,2,0
79,11,56,115,42,52,9,12,134,0,12,150,7.5,0
81,5,49,80,29,48,12,6,139,1,13,123.5,3.5,0
83,10,52,85,42,36,10,7,109,0.5,19,142.5,4.5,0
85,7,63,95,33,43,10,6,131,0,19,150,1.5,0
87,5,43,94,49,32,9,6,133,0,17,135,3,0
89,5,48,82,24,43,13,10,141,0,11,133,4.5,0
91,4,40,82,26,34,18,9,149,0.5,28,137,1.5,1
93,8,51,106,20,56,11,6,142,0,22,116,3.5,0
95,9,42,87,0,41,8,7,178,0,18,127,3,0
97,7,46,76,28,49,11,5,145,0,21,146,4,0
99,6,34,77,9,43,17,8,161,0.5,19,129,6.5,0
101,5,51,83,29,42,19,8,162,0,13,131.5,3.5,0
103,5,41,88,26,36,11,7,162,1,16,106.5,4.5,0
105,7,48,79,17,47,8,1,178,0,11,118.5,3,0
107,12,44,111,19,42,12,9,177,0,15,139,2,0
109,4,46,109,13,36,10,8,136,0.5,16,133.5,7.5,0
111,11,51,79,14,44,19,12,154,1.5,9,141,1,0
113,2,50,98,12,38,11,9,0,1,14,154.5,4.5,0
115,5,57,93,11,36,0,12,172,0,20,134.5,2,0
117,10,59,110,9,43,20,12,176,0,22,139.5,2,0
119,8,61,90,13,37,7,10,181,0,22,96,2,0
121,0,59,68,14,43,12,7,162,0,20,127.5,1.5,0
123,1,33,87,11,35,10,8,190,0,18,114.5,0.5,0
125,10,62,83,9,34,22,12,184,0.5,23,135.5,2,0
127,12,49,100,11,35,12,5,203,0,11,120.5,3,0
129,6,66,54,5,40,15,5,147,0,21,140,3.5,0
131,7,55,77,21,33,8,11,167,0,29,144.5,1,0
133,15,48,71,8,35,6,8,153,2,27,135.5,2,0
