"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
1,5,4,51,21,10,8,3,125,10,36,17,11,1
7,5,8,55,29,27,0,1,156,0,38,33,3,0
10,3,3,51,48,20,8,4,112,0,17,25,4,1
14,2,2,36,31,17,13,3,103,0,21,20,1,0
19,3,7,47,34,19,7,3,91,1,27,22,3,0
24,1,2,46,34,15,5,4,108,0,15,26,1,0
28,1,6,47,47,5,4,10,72,0,35,12,3,1
33,5,8,52,48,6,0,2,99,0,27,16,0,0
37,4,6,28,34,27,9,7,105,0,30,23,9,0
41,4,7,41,56,18,8,4,122,0,9,23,2,0
46,10,21,68,61,56,32,8,239,0,53,30,35,2
49,5,12,56,126,25,16,8,203,0,29,32,1,0
53,1,6,32,91,18,11,3,120,0,19,15,2,0
55,1,13,50,85,33,26,13,219,0,43,28,2,1
62,8,10,36,33,12,18,5,147,0,22,14,0,0
68,2,20,40,45,41,17,12,231,1,32,46,12,0
