"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
15,37,153,164,2,204,32,18,66,4,172,70,6,0
45,24,180,210,4,126,24,46,66,2,164,60,8,0
75,12,53,206,0,199,4,4,41,26,124,57,6,0
105,24,130,102,3,116,19,30,142,2,191,79,0,0
135,43,130,100,4,58,16,8,122,2,265,62,0,0
165,26,209,51,6,27,21,36,136,16,341,84,2,0
195,20,244,239,4,46,14,12,179,4,124,58,0,0
225,23,154,61,3,35,18,21,88,0,441,82,0,0
255,30,264,175,0,178,11,19,42,0,147,45,1,0
285,4,213,223,0,249,30,15,72,0,171,44,0,0
315,16,231,192,0,235,6,34,123,0,112,45,0,1
345,0,85,158,2,254,7,16,38,0,81,34,0,0
405,25,143,132,2,172,7,10,124,0,163,27,0,0
435,21,214,248,0,126,0,19,127,0,138,34,0,0
465,16,225,89,2,157,3,13,102,0,235,135,0,0
495,13,16,26,0,36,0,7,25,0,43,32,0,0
525,21,120,72,0,212,8,1,209,0,76,194,7,0
585,18,21,49,1,128,1,6,243,0,118,350,0,0
615,8,2,26,1,13,0,4,74,3,34,204,24,0
645,0,0,132,1,2,2,2,17,5,103,78,33,0
705,1,4,0,0,0,0,1,0,2,0,41,274,0
