"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
0,8,58,284,1,38,3,6,32,21,39,73,107,0
10,10,74,553,5,53,2,14,72,11,54,181,157,0
30,12,42,262,0,53,2,3,41,29,27,106,135,2
50,11,63,205,0,54,2,7,34,18,28,97,123,1
70,13,82,291,0,75,2,10,39,17,20,62,100,0
90,31,175,638,3,171,7,28,95,41,77,185,382,0
110,13,89,314,3,93,0,11,45,13,29,64,96,0
130,0,80,328,1,72,1,4,39,17,34,112,104,3
150,23,152,312,2,124,3,5,39,9,32,77,46,0
170,12,110,288,1,147,0,2,29,12,32,124,35,3
190,3,156,365,0,101,4,18,36,14,51,71,10,2
220,32,196,497,1,170,4,23,54,14,50,100,9,2
240,45,323,860,3,265,7,49,82,40,103,255,10,4
270,48,309,937,0,226,8,79,84,27,98,433,18,2
290,57,219,444,1,79,15,62,57,35,62,212,10,1
335,38,269,701,3,42,3,52,61,19,71,215,16,0
365,13,81,298,3,22,0,24,29,4,36,96,4,2
375,14,128,439,0,25,4,15,48,7,64,110,6,3
385,53,250,1057,0,173,5,34,65,1,99,129,8,2
410,16,31,225,0,174,2,10,30,3,52,88,3,1
440,35,80,520,0,336,7,10,71,1,76,218,9,0
490,42,53,326,1,356,0,16,111,4,72,649,10,0
540,51,59,363,1,316,3,20,286,22,104,1110,19,4
580,54,8,342,0,31,1,6,195,37,109,1628,50,11
610,23,3,331,0,6,4,3,129,33,85,403,52,10
620,27,0,162,0,13,1,4,63,12,509,244,214,35
632,11,1,18,0,0,4,0,34,5,75,88,209,0
640,6,0,4,0,0,1,0,11,1,19,44,26,0
650,2,0,2,0,0,2,0,5,2,19,23,18,0
660,1,0,1,0,0,0,0,3,0,8,17,4,0
