"depths","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce"
0,1,25,0,4,1,3,100,0,16,35,0
10,1,32,1,6,2,5,100,0,47,41,0
30,0,16,1,3,8,0,68,0,11,40,0
50,3,44,0,5,6,3,94,0,11,21,0
70,0,1,1,7,2,4,183,0,22,54,0
90,2,9,0,8,2,6,147,0,16,51,0
110,5,5,0,10,1,1,125,0,18,69,0
130,0,16,0,5,0,0,135,0,42,104,0
150,0,9,0,8,1,0,72,0,39,137,0
170,1,6,0,9,1,0,94,0,54,88,1
190,0,13,0,8,1,0,52,1,15,164,2
200,0,12,0,10,0,1,36,4,18,200,13
215,1,12,0,3,0,0,27,3,19,214,20
