"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
0,9,4,112,3,106,4,24,94,0,5,197,5,0
1,7,6,126,6,118,4,13,105,0,14,115,10,0
2,5,12,191,62,109,5,31,100,0,15,74,12,0
3,7,14,220,94,128,1,30,123,0,22,76,9,0
4,9,15,184,77,101,4,34,75,0,14,80,8,0
5,3,4,147,49,62,7,25,70,0,16,46,4,0
6,7,12,203,91,88,6,41,97,0,19,62,12,0
7,5,20,93,121,127,4,23,111,1,14,136,12,0
8,2,12,34,47,72,1,11,54,1,5,69,3,0
9,4,22,105,69,189,6,24,121,0,16,149,11,0
10,4,26,82,80,138,5,18,135,0,17,115,5,0
11,3,13,82,117,114,4,11,75,0,12,93,9,0
12,4,15,77,122,115,6,13,87,0,8,112,10,0
13,6,25,70,85,128,2,15,102,0,13,106,9,0
14,6,34,119,40,207,6,22,131,0,13,110,11,0
15,2,48,86,20,210,5,25,102,0,18,123,13,0
16,2,38,83,12,169,2,19,82,0,5,63,6,0
17,3,36,89,13,184,4,26,66,0,8,61,16,0
18,3,41,90,39,160,4,13,70,0,10,55,16,0
19,1,18,64,108,96,5,13,87,0,6,81,7,0
20,3,12,57,121,70,3,13,76,2,12,75,13,0
21,3,27,59,34,100,2,8,61,0,17,42,10,0
22,4,36,66,11,144,2,14,66,0,4,54,12,0
23,8,41,57,4,174,1,20,70,0,16,100,10,0
24,1,47,76,13,157,6,14,59,0,12,59,20,0
25,7,45,96,20,209,3,18,87,0,14,75,7,0
26,4,39,83,9,138,6,17,93,0,8,55,3,0
27,3,52,60,6,172,5,11,74,0,8,66,4,0
28,8,62,48,1,155,6,19,72,0,11,59,0,0
29,2,38,36,3,88,10,19,75,0,19,59,2,0
30,6,76,40,4,90,5,25,113,0,27,119,2,0
31,6,57,59,1,122,9,13,132,0,36,122,2,0
31.5,6,22,20,3,30,5,22,161,1,34,124,2,0
32,5,44,26,1,37,1,10,202,0,40,146,0,0
33,4,60,33,3,82,3,7,100,0,31,79,4,0
34,6,57,50,0,92,8,27,138,0,41,93,2,0
35,6,78,57,0,232,2,28,104,0,36,73,1,0
36,0,42,76,0,174,1,17,83,0,35,156,16,0
37,3,79,127,0,253,5,11,88,0,36,132,10,0
38,3,91,119,0,308,1,21,114,0,54,95,8,0
39,4,69,97,1,168,2,19,83,0,34,56,2,0
40,2,62,71,0,179,0,18,82,0,27,68,1,0
41,1,40,55,0,155,2,20,122,0,32,137,12,0
42,0,26,45,0,98,2,9,72,0,27,84,4,0
43,0,58,80,1,159,1,19,103,0,28,118,12,0
44,1,69,68,0,175,1,24,99,0,23,91,5,0
45,0,39,39,0,102,2,15,58,0,17,58,2,0
46,6,55,78,0,138,4,18,135,0,40,177,12,0
47,4,40,75,0,137,0,11,96,1,12,84,6,0
48,0,47,80,1,154,0,27,161,3,33,191,19,0
49,2,20,68,0,123,0,16,196,2,17,272,25,0
49.1,2,20,68,0,123,0,16,196,2,17,272,25,0
50,7,34,59,0,129,0,19,138,2,44,209,17,0
50.1,7,34,59,0,129,0,19,138,2,44,209,17,0
51,7,20,56,0,130,0,41,135,7,54,323,31,0
51.1,7,20,56,0,130,0,41,135,7,54,323,31,0
52,0,6,45,0,48,0,22,92,7,38,273,51,0
52.1,0,6,45,0,48,0,22,92,7,38,273,51,0
53,2,3,66,0,40,0,16,63,6,34,256,47,0
53.1,2,3,66,0,40,0,16,63,6,34,256,47,0
54,0,3,78,0,28,0,11,83,2,45,268,57,2
55,1,2,44,0,37,0,12,63,2,26,176,40,2
56,4,2,68,0,32,0,10,60,11,57,280,77,1
57,1,0,67,0,50,0,9,64,5,45,208,71,1
58,1,0,26,0,28,0,8,44,1,17,129,52,0
59,2,1,53,0,32,0,7,63,3,36,213,65,0
60,3,2,43,0,16,0,1,44,7,22,125,59,0
61,3,0,65,0,16,0,9,50,5,21,167,161,0
62,1,0,51,0,19,2,13,50,5,48,152,138,6
