"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
14,3,1,24,3,5,9,0,37,0,44,60,3,7
16,5,6,18,0,11,7,0,32,0,30,61,4,0
18,6,3,4,6,17,2,0,30,0,27,77,7,2
20,2,1,15,2,14,6,0,32,0,37,73,2,2
22,0,6,3,4,23,1,0,24,0,32,75,3,2
24,2,5,4,0,27,6,0,19,0,23,79,3,3
26,1,0,4,2,36,7,0,20,0,26,70,3,2
28,5,7,3,1,23,3,0,20,0,13,91,3,0
30,2,3,4,1,17,3,0,17,0,24,86,1,2
32,3,3,6,3,17,1,0,21,0,33,81,4,0
34,1,3,5,0,26,6,0,13,1,20,86,6,3
36,1,10,4,1,13,4,0,15,0,29,77,3,0
38,6,5,1,2,15,6,0,7,0,33,68,5,0
40,8,2,1,0,5,4,0,13,0,40,50,2,4
42,10,24,4,1,8,3,0,27,0,40,38,0,0
44,1,17,5,0,5,1,0,26,0,23,66,1,2
46,6,18,3,0,7,2,0,28,0,31,37,0,5
48,5,8,5,1,11,5,0,30,0,28,37,3,0
50,3,7,5,0,11,3,0,15,1,34,67,4,5
52,9,13,2,0,2,6,0,37,0,35,31,3,0
54,17,3,3,0,6,3,0,14,0,42,49,1,0
56,22,5,3,1,8,8,0,19,0,23,46,0,0
58,6,18,2,0,13,3,0,25,1,34,42,0,2
60,6,17,3,0,11,8,0,37,1,49,50,0,2
62,3,4,4,0,12,1,0,28,6,24,110,4,3
64,2,0,10,0,7,1,0,24,10,19,119,5,2
66,3,1,10,0,5,0,0,22,7,15,129,7,0
68,2,2,11,0,3,0,1,26,17,23,84,25,8
70,1,0,23,0,4,0,0,29,20,32,84,10,1
72,2,1,11,0,6,0,0,17,13,13,101,31,9
74,8,3,10,1,4,2,0,18,20,19,82,31,0
76,2,0,13,0,1,0,0,19,3,9,53,97,4
78,2,0,6,0,2,0,0,6,1,9,30,144,0
80,1,1,1,0,1,0,0,7,2,10,36,143,0
82,1,0,2,0,0,0,0,3,2,9,41,140,0
84,2,0,3,1,1,1,0,7,2,8,29,144,0
86,1,2,7,0,3,0,0,8,1,10,32,140,0
88,1,0,2,0,2,2,0,12,1,23,33,129,0
90,2,1,7,0,0,0,0,9,1,13,27,143,0
92,2,1,5,0,1,1,0,3,1,7,30,152,0
94,4,0,0,0,1,2,0,4,3,17,26,146,0
96,1,1,5,0,0,0,0,7,3,12,33,140,1
