"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
0,9,39,147,1,66,9,12,67,1,131,61,10,1
3,17,88,93,1,92,8,32,75,0,107,60,1,0
8,26,94,70,5,92,4,35,76,0,104,71,3,0
13,19,114,58,5,144,10,32,79,0,65,62,2,0
18,7,148,79,3,123,8,41,67,0,59,58,0,0
23,23,133,66,2,117,7,41,72,0,64,41,1,0
38,25,101,68,4,114,6,9,70,0,67,45,2,0
73,24,96,71,3,121,12,3,75,0,60,56,0,0
93,26,87,65,3,120,13,2,74,0,64,49,3,0
123,21,115,54,0,167,12,2,69,0,91,45,0,0
143,27,99,69,4,131,17,0,77,0,76,36,0,0
173,19,117,61,1,114,7,1,71,0,80,42,1,0
193,39,126,58,3,101,12,0,68,1,76,45,1,0
223,30,100,56,4,86,9,0,101,0,102,35,0,1
248,40,111,57,3,79,15,2,108,0,84,40,2,0
273,31,102,67,0,78,18,5,121,0,89,36,0,0
298,52,76,61,2,67,17,0,102,1,91,63,0,1
323,29,94,59,8,123,12,2,76,0,89,44,1,2
348,24,119,66,3,110,10,2,79,0,80,42,1,0
373,42,121,79,0,74,17,2,90,0,85,27,0,1
393,47,124,44,3,77,14,0,80,0,93,28,0,0
413,53,87,50,7,82,16,54,95,0,74,19,0,0
438,47,98,42,4,62,11,53,102,0,85,23,1,0
463,38,88,47,7,59,16,70,98,0,91,22,0,0
488,46,98,53,10,57,9,43,89,0,92,31,0,0
513,45,85,26,7,40,19,70,107,0,107,26,0,0
538,44,97,50,2,27,18,36,117,0,111,27,0,0
563,37,94,52,3,37,24,41,94,0,137,20,0,0
588,56,95,55,2,23,16,43,112,0,99,17,0,0
613,39,95,69,3,44,15,52,91,0,98,14,0,0
638,45,107,46,0,39,16,53,109,0,106,21,0,0
663,49,68,55,2,132,8,42,67,0,97,10,1,0
688,38,65,28,2,244,11,21,56,0,85,12,1,0
706,30,60,19,1,207,11,21,72,0,88,13,0,0
721,45,54,27,0,210,11,22,72,0,89,6,0,0
736,41,66,20,2,183,11,26,80,0,94,7,1,0
756,39,64,24,1,196,8,26,68,0,90,17,1,0
771,40,51,24,2,171,11,24,67,0,112,20,0,0
786,54,76,24,2,135,10,35,82,0,108,17,0,0
801,45,61,23,4,146,13,34,83,0,87,17,0,0
813,54,69,32,1,149,12,20,85,0,97,11,0,0
825,60,65,33,1,146,7,22,82,0,107,14,0,0
837,47,78,25,1,154,17,18,84,0,78,28,0,0
849,33,68,29,0,171,14,18,81,0,81,20,0,0
861,25,46,64,0,165,13,16,82,0,87,21,1,0
873,46,39,34,0,161,14,26,81,0,85,29,0,0
884,45,18,22,0,193,8,18,73,0,99,47,1,0
896,74,17,26,0,140,2,18,116,0,80,38,0,0
901,55,13,25,0,173,4,19,109,1,83,49,0,0
907,57,5,12,0,178,5,12,120,0,79,46,0,0
913,32,1,16,0,103,4,24,114,2,87,139,0,0
919,35,0,26,0,25,2,23,174,3,81,183,0,0
925,22,0,39,0,5,1,20,90,6,68,276,9,0
931,4,0,13,0,4,1,0,21,12,24,156,278,0
941,7,0,7,0,4,0,1,58,22,36,89,307,0
955,15,0,7,0,0,3,1,69,17,41,42,335,0
967,32,1,10,0,0,3,1,44,13,41,45,270,0
979,16,0,13,0,0,2,0,41,14,33,57,271,0
991,31,0,17,0,0,3,3,48,11,59,24,218,0
