"depths","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
0,30,156,4,22,1,0,24,14,25,28,15,1
5,39,182,1,17,4,3,14,9,23,27,33,0
9,48,158,4,25,2,2,26,14,25,26,34,0
15,41,160,2,22,2,2,22,13,24,28,35,0
20,54,141,1,23,0,2,24,10,25,38,30,0
25,73,176,0,38,2,2,19,10,16,19,31,0
30,57,150,0,28,1,0,16,8,32,22,25,1
40,63,155,0,25,0,2,11,12,19,21,18,0
60,67,154,0,30,0,1,21,11,19,28,2,0
80,55,180,3,11,0,1,23,11,24,27,2,0
90,49,163,0,15,1,0,29,12,18,37,3,0
100,69,174,1,19,1,1,19,10,24,43,4,0
120,49,174,0,30,0,0,23,4,32,21,1,0
140,26,144,0,53,1,1,22,1,20,53,1,0
160,14,124,2,53,1,1,45,3,39,86,2,0
180,3,94,2,18,0,1,45,4,41,133,2,0
200,1,110,1,9,0,0,64,8,44,149,4,0
220,0,81,0,6,0,1,57,5,49,227,0,0
240,0,122,0,3,0,1,47,8,39,174,5,0
260,0,119,0,3,0,1,59,17,53,216,5,0
280,1,151,0,5,0,0,53,7,84,150,10,0
290,1,128,0,1,0,1,28,11,51,120,9,1
300,0,186,1,0,0,0,17,14,62,71,26,0
310,0,54,0,0,0,0,39,1,66,80,111,0
320,0,20,0,0,0,0,8,0,46,55,57,0
