"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
0,9,4,46,0,5,5,2,94,0,20,11,0,1
8,8,4,29,2,6,13,0,89,0,3,17,0,0
16,1,5,17,0,26,33,4,140,0,6,27,0,5
24,2,0,20,1,6,28,1,87,0,1,20,0,0
32,1,6,42,0,29,25,6,163,0,3,10,0,5
40,2,3,18,0,29,24,3,168,0,6,15,0,2
48,7,6,30,2,13,30,7,156,0,10,16,0,3
56,3,2,20,1,19,10,0,191,0,8,20,0,5
64,1,8,36,1,21,28,1,144,0,3,18,0,0
72,1,9,24,0,21,11,9,185,0,5,25,0,2
80,1,0,26,0,13,41,1,177,0,3,33,0,1
88,4,3,33,0,27,35,0,161,0,4,38,0,3
96,0,4,25,0,17,21,5,98,0,3,22,0,5
104,10,5,34,2,16,24,3,177,0,16,25,0,2
112,4,0,26,3,20,22,3,203,0,6,26,0,3
120,1,5,20,0,21,35,0,100,0,4,27,0,3
128,2,4,30,0,20,39,3,145,0,11,24,0,3
136,4,8,16,0,15,21,1,114,0,5,16,0,1
144,1,15,29,0,29,32,4,158,0,6,28,0,2
152,1,10,24,0,13,37,1,176,0,3,24,0,2
160,0,7,39,0,11,37,6,167,0,3,14,0,4
168,6,8,36,3,11,24,4,173,0,12,30,0,5
176,3,4,26,0,19,33,0,172,0,6,44,0,1
184,1,5,19,5,11,40,3,167,0,4,25,0,5
192,4,12,40,1,15,36,3,182,0,7,26,0,2
200,4,5,26,1,8,19,4,186,0,12,19,0,2
208,0,2,9,0,3,7,3,78,0,2,9,0,3
216,6,4,49,5,1,36,0,155,0,16,20,0,3
224,2,7,28,4,9,35,3,166,0,11,15,0,1
232,1,9,37,1,10,41,2,180,0,5,20,0,1
240,4,6,19,6,3,52,4,186,0,9,23,0,5
248,4,7,39,0,10,54,2,169,0,9,22,0,3
256,1,11,26,2,1,24,4,175,0,7,25,0,2
264,4,6,22,1,3,21,7,198,0,7,26,0,1
272,7,11,35,2,3,21,6,154,0,10,27,0,3
280,3,7,31,2,4,12,2,178,0,13,38,0,5
288,0,7,31,1,3,29,3,189,0,9,25,0,3
296,1,11,16,6,9,27,2,155,0,11,29,0,5
304,7,8,27,1,12,25,2,183,0,6,20,0,5
312,0,14,31,0,4,39,4,189,0,7,29,0,5
320,1,3,7,1,5,18,3,204,0,12,16,0,0
328,1,9,27,1,0,19,5,170,0,16,9,0,1
336,2,8,23,0,36,41,1,183,0,9,16,0,2
344,1,5,24,3,23,19,8,144,0,20,10,0,6
352,7,4,16,0,26,29,3,208,0,8,8,0,6
360,3,11,19,3,42,14,5,166,0,4,13,0,3
368,1,3,12,1,18,19,7,217,0,5,13,0,2
376,1,4,21,1,27,15,0,156,0,1,12,0,7
384,3,7,13,1,28,8,3,187,0,14,15,0,0
400,5,5,29,3,35,28,3,189,0,16,29,0,5
408,1,8,26,0,38,3,2,164,0,15,9,0,4
416,3,6,17,0,46,7,3,172,0,10,15,0,4
424,2,4,17,0,33,4,1,207,0,6,22,0,3
432,6,8,21,0,34,7,5,181,0,19,11,0,6
440,8,4,18,3,22,3,5,205,0,16,14,0,5
448,2,5,17,0,27,4,2,229,0,11,9,0,2
456,5,4,10,1,27,4,2,200,0,18,12,0,1
464,2,11,15,0,23,2,2,242,0,8,6,0,1
472,2,7,24,0,30,2,4,198,0,3,13,0,6
480,1,6,32,0,21,15,3,181,0,6,15,0,1
488,0,7,23,0,11,2,3,233,0,8,23,0,2
496,8,1,7,0,30,4,0,238,0,9,29,0,9
504,1,3,13,1,20,9,1,200,0,6,44,0,7
512,5,1,19,0,19,5,1,207,0,13,20,0,4
520,0,2,5,0,6,1,3,244,0,2,22,0,4
528,3,0,25,0,22,4,4,184,0,4,39,0,3
536,3,4,25,1,7,0,1,206,0,8,50,0,3
544,0,0,13,0,3,0,1,190,0,5,90,0,2
552,3,1,25,1,11,0,0,165,0,12,79,0,7
560,1,0,14,0,26,0,0,147,0,7,119,0,2
568,1,0,16,0,20,0,2,112,0,8,149,0,3
576,0,0,13,0,19,0,0,91,0,4,166,0,3
584,3,0,17,0,64,0,2,115,0,7,134,0,2
592,0,0,12,0,41,1,3,90,0,1,145,2,4
600,3,5,14,0,22,2,0,96,0,14,114,1,5
608,5,2,32,0,10,1,10,61,0,13,139,1,6
616,7,3,53,1,19,3,6,83,0,22,164,4,4
624,0,0,23,1,4,1,2,28,0,14,270,0,3
632,2,0,63,0,10,0,1,17,0,16,178,4,4
640,1,0,116,1,1,0,2,7,0,20,110,20,4
648,0,0,54,0,0,0,1,9,0,8,222,20,1
656,1,0,32,0,1,0,0,9,2,40,211,32,2
664,7,2,33,0,0,0,1,29,2,17,155,39,13
670,1,0,30,0,0,1,0,26,0,5,106,116,19
672,1,5,16,0,0,0,0,27,0,13,16,5,0
700,4,0,2,0,0,0,1,10,0,0,23,3,2
740,0,0,0,0,0,0,0,0,0,1,8,2,0
780,0,0,0,0,0,0,0,0,0,0,13,4,0
900,0,0,1,0,0,0,0,0,0,0,20,8,0
