"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.hardwood","Pine","Spruce","Tamarack"
0.5,8,33,91,6,46,6,12,64,23,34,1.5,0
1.5,5,21,27,3,47,0,12,34,12,30,2,0
2.5,4,48,78,3,69,5,11,62,17,28,5,0
5.5,12,32,93,6,45,4,7,62,25,22,3,1
8.5,5,23,85,6,46,5,22,85,17,21,1.5,0
10.5,9,34,83,9,44,4,13,95,27,21,4.5,0
11.5,10,32,94,11,47,3,8,79,23,26,4.5,0
14.5,9,22,81,14,55,4,10,64,19,34,5.5,0
17.5,3,40,75,12,60,8,11,61,26,39,6,0
19.5,6,41,63,11,80,5,4,60,18,30,2,0
20.5,8,25,76,14,90,4,9.5,54,15,41,2.5,1
21.5,10,31,71,6,128,3,17,58,20,46,7,0
24.5,6,29,79,13,72,2,9,64,14,27,3,0
25.5,6,41,64,13,98,4,10,77,21,40,2.5,0
26.5,5,31,98,10,107,2,7,64,15,44,4.5,0
27.5,11,50,77,21,87,8,8,62,17,33,3,0
28.5,8,40,64,14,124,4,13,55,18,40,4,0
30.5,7,46,77,6,108,3,8.5,68,15,34,3,0
32.5,7,37,65,5,99,5,13,49,10,43,6,0
33.5,6,32,54,15,98,2,11,53,13,34,4.5,0
37,7,58,88,5,68,9,13,100,17,24,1,0
41,3,43,68,7,121,7,8,62,12,33,2.5,0
45,7,60,76,11,129,6,12,86,19,36,4.5,0
49,5,45,61,9,97,7,11,55,11,24,2.5,0
51,5,43,94,11,78,4,9,68,20,28,0,0
53,8,41,59,6,99,4,9,52,14,33,2.5,0
57,6,49,76,10,109,3,6,69,10,43,2.5,0
63,2,36,90,12,103,3,8.5,47,23,25,0,0
69,6,31,88,16,103,4,6,57,16,40,2.5,0
