"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
1,14,11,153,25,22,8,17,141,0,19,114,0,0
3,11,27,144,24,26,5,16,157,0,19,93,2,0
5,6,12,132,47,27,3,15,134,0,39,119,0,0
7,16,20,152,29,28,2,17,147,0,29,92,3.5,0
9,7,14,139,19,45,6,22,133,0,16,131,0,0
11,7,27,126,21,0,11,8,149,0,19,96,2,59
13,10,17,119,17,41,5,25,153,0,30,91,0,0
15,21,21,135,45,19,5,18,148,0,25,96,3.5,0
17,16,35,118,50,23,3,20,130,2,21,123,1.5,0
19,11,14,85,56,39,2,25,133,0,22,135,7,0
21,12,30,96,44,44,8,11,140,0,21,125,14,0
23,2,23,96,51,36,12,15,122,0,19,132,8,0
25,8,30,83,46,33,3,22,154,0,24,141,5,0
27,12,31,89,34,35,3,7,146,0,34,144,9,0
29,9,42,53,57,49,8,8,154,0,20,124,9,0
31,13,28,83,65,46,7,14,132,0,19,121,3,0
33,13,42,67,42,36,9,10,134,1,31,141,1,0
35,16,43,58,50,35,8,23,145,0,26,110,6,0
37,12,43,80,50,40,3,19,148,0,19,115,4.5,0
39,10,39,93,21,49,5,16,140,0,19,135,1.5,0
41,3,61,103,13,42,10,10,121,0,26,139,3,0
43,15,41,73,14,57,5,15,135,0,25,157,4,0
45,11,47,75,17,73,5,12,119,0,27,150,3,0
47,6,47,84,8,56,8,13,118,0,24,164,4.5,0
49,5,42,76,11,60,14,16,120,0,25,149,7,0
51,4,54,86,19,49,16,15,133,0,16,125,2,0
53,6,38,74,5,54,11,18,132,0,23,152,0,0
55,10,42,69,22,53,8,19,131,0,44,138,4,0
57,8,52,98,19,41,16,17,115,0,17,135,5,0
59,7,65,79,9,56,6,14,123,0,17,146,4,0
61,9,35,97,14,57,6,18,129,0,16,137,4,0
63,5,68,74,9,54,7,17,123,0,20,137,4,0
65,14,43,83,9,58,13,18,126,0,18,128,8,0
67,9,36,74,17,74,6,14,107,0,20,158,4,0
69,8,48,60,7,54,10,12,145,0,16,148,1,0
