"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
0,2,16,55,20,11,7,7,84,0,14,34,1,0
2,3,17,156,30,16,19,12,159,0,18,82,3,0
4,3,17,141,30,22,12,10,175,0,24,103,3,0
7,5,12,121,23,31,11,19,188,0,23,96,4.5,0
10,1,35,122,35,37,15,11,162,0,27,73.5,3,0
12,3,40,142,30,23,15,12,171,0,21,71,6.5,0
14,2,15,136,36,34,5,14,192,0,13,97,4.5,0
17,4,26,118,24,31,16,9,178,0,29,81.5,6.5,2
20,2,39,99,41,40,8,8,181,0,26,105.5,1,0
22,3,46,77,46,26,9,11,197,0,21,100.5,14.5,0
24,7,41,62,29,30,12,16,210,0,23,113.5,2,0
27,10,45,56,55,32,7,9,202,0,24,87,1.5,0
30,4,38,97,47,33,11,13,201,0,33,77.5,2.5,0
32,3,35,85,45,27,18,14,209,0,22,93.5,1.5,0
34,4,43,84,40,36,3,13,196,0,27,104,3.5,0
37,5,31,76,39,37,13,14,199,0,23,98.5,2,0
40,7,32,84,47,42,10,7,205,0,26,100.5,2.5,1
42,4,44,67,61,49,11,5,181,0,23,90,1.5,1
44,3,49,76,57,42,13,8,202,0,23,70.5,4.5,0
47,3,48,78,44,50,15,7,208,0,41,59.5,3,0
50,3,61,70,56,33,15,14,190,0,25,67,7.5,0
52,6,34,95,42,21,18,14,223,0,26,69,3,0
54,3,41,81,28,37,8,12,238,0,20,72,5,0
57,2,24,81,67,41,14,14,210,0,30,62.5,1.5,0
60,5,53,54,50,40,6,12,225,0,24,84,2,0
62,2,38,75,30,48,13,7,227,0,37,110,5,1
64,2,38,76,36,52,21,11,202,0,20,87,2,1
67,3,37,82,46,28,12,18,225,0,27,75,4,0
70,5,45,71,37,49,16,12,209,0,26,96,2,0
72,3,36,76,32,60,13,13,184,0,29,101.5,6,0
74,0,31,80,42,44,11,11,224,0,23,90.5,7,0
77,3,41,90,36,24,14,16,224,0,21,76.5,3,2
80,2,49,62,25,56,10,13,196,1,28,106,4,0
82,3,38,94,28,35,10,15,217,0,19,98.5,3,1
84,3,42,81,42,38,11,13,214,0,7,98.5,3,0
87,5,37,62,42,46,14,14,216,0,29,65,4,1
90,3,42,82,48,41,11,7,225,0,30,78,5,1
92,2,45,81,38,41,21,11,212,0,25,81.5,5,0
94,0,55,90,33,39,19,6,227,0,15,80,7.5,0
97,3,38,76,35,36,11,5,235,0,18,118.5,1,0
100,1,55,83,32,42,14,12,231,0,18,72.5,2.5,0
102,5,47,83,15,43,14,9,228,0,21,78,2,0
104,4,46,66,62,45,13,7,215,0,24,80.5,5.5,1
107,1,55,70,44,46,12,8,206,0,21,90,4.5,0
110,6,41,68,39,46,9,19,232,1,23,66,0,0
112,5,42,73,65,27,17,7,207,0,19,79,2.5,1
114,2,57,72,49,33,8,4,220,1,16,83.5,3,2
117,3,42,63,44,38,20,10,206,0,28,129,3.5,0
120,3,28,68,41,56,21,7,199,0,21,108.5,0,0
122,6,46,68,49,40,7,10,217,0,21,73.5,7.5,2
124,5,53,63,57,35,11,10,235,0,34,95.5,4.5,1
127,3,67,59,45,42,4,9,215,0,34,89.5,1,2
130,5,29,61,67,39,16,8,215,1,28,73.5,3.5,0
132,3,43,73,71,30,13,8,196,1,35,80.5,1.5,1
134,6,48,66,53,24,11,14,244,0,32,72,2.5,0
137,3,43,49,80,45,7,10,195,0,27,113,1,1
140,13,37,75,34,52,7,11,193,0,36,117.5,1.5,1
142,2,28,55,78,28,5,10,263,0,28,65,2,0
144,4,69,57,48,28,12,14,194,0,32,102,1,0
147,7,48,77,45,34,9,17,200,0,20,63,3.5,0
154,0,40,63,6,56,8,8,211,0,40,80,4,0
158,0,46,57,22,53,15,9,209,0,29,67,1,0
162,1,59,84,11,43,15,12,228,0,32,74,3,0
166,0,49,62,18,68,17,9,200,0,21,85,3,0
170,1,57,83,21,40,15,6,254,0,29,59,1,0
174,0,36,62,11,35,18,6,226,0,21,79,3,0
178,2,32,68,7,41,15,5,240,0,38,66,3,0
182,0,59,71,6,53,20,6,226,0,40,79,3,0
186,0,47,70,7,51,14,5,216,0,29,70,3,0
190,2,40,51,15,22,9,9,188,0,31,36,3,0
192,1,46,67,21,42,13,19,228,0,38,57,2,0
194,3,43,63,25,18,5,5,218,0,41,50,0,0
196,3,35,47,10,30,9,14,221,0,37,43,0,0
198,3,24,65,41,18,2,12,178,0,31,34,3,0
201,1,31,65,8,27,5,9,194,0,35,54,2,0
205,6,47,71,5,27,14,14,304,0,73,71,2,0
210,0,22,49,8,14,7,13,208,0,52,62,1,0
215,1,39,52,5,11,8,10,191,0,49,63,1,1
220,6,30,46,7,13,5,10,267,0,60,51,2,0
225,2,44,50,4,25,12,12,205,0,55,71,3,0
230,1,25,61,3,13,7,9,190,0,62,43,1,0
235,3,33,57,7,16,13,7,210,0,50,67,4,0
240,1,36,54,8,21,6,9,205,0,60,33,1,0
245,6,35,51,6,20,4,13,199,0,54,58,1,0
250,3,43,64,10,20,5,8,220,0,56,66,1,0
255,3,32,59,6,17,10,11,203,0,61,67,0,0
260,5,42,59,0,20,12,9,180,0,52,45,2,0
265,2,50,55,6,38,12,18,195,0,48,88,0,0
270,3,33,62,2,29,4,11,191,0,37,58,0,0
275,2,45,62,3,20,9,7,221,0,48,68,2,0
280,1,36,47,0,13,8,7,217,0,53,45,2,0
285,4,28,57,1,15,5,9,202,0,59,49,0,0
290,2,34,34,2,14,3,4,207,0,81,42,2,0
295,7,30,70,1,20,17,14,263,0,89,69,3,0
300,1,23,52,1,16,11,11,208,0,49,41,1,0
