"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
1,10,38,176,17,55,6,18,93,0,19,87,3.5,0
3,3,44,148,14,66,6,19,110,0,18,93,4,0
5,9,37,154,21,61,8,20,99,0,13,94,7.5,0
7,17,58,129,0,87,4,15,105,1,30,78,5,0
9,7,40,177,29,63,2,14,103,0,20,71,3,0
11,11,50,168,24,63,3,19,106,0,11,60,3,0
13,11,43,173,19,61,3,19,74,1,22,91,6,0
15,12,35,163,24,67,3,17,108,0,23,75,5.5,0
17,5,52,173,26,48,6,17,94,1,16,79,0,0
19,11,65,162,29,57,6,12,94,0,22,81,4.5,0
21,8,46,165,19,53,11,17,107,0,15,77,3,0
23,4,50,155,16,75,3,6,105,0,10,93,4,0
25,7,50,170,27,64,3,24,97,0,19,67,3,0
27,11,48,163,16,73,6,5,79,0,19,99,1.5,0
29,11,58,154,17,66,5,11,93,0,16,89,2,0
31,7,62,145,16,52,5,11,111,0,15,84,5.5,0
33,7,64,133,11,68,6,15,95,0,7,101,0,0
35,13,85,144,21,83,2,20,74,0,14,73,1,0
37,9,60,151,24,91,3,14,83,0,8,73,3.5,0
39,12,64,127,13,80,2,17,91,0,10,106,5,0
41,4,61,137,20,90,0,14,86,0,10,103,5,0
43,5,69,146,21,65,5,13,80,0,15,88,0,0
45,8,77,112,32,83,2,7,94,0,16,91,3,0
47,14,70,124,24,103,2,5,87,0,25,75,0,0
49,4,78,154,17,70,5,12,86,0,5,96,3.5,0
51,12,91,132,13,96,3,9,96,0,21,59,3,0
53,3,119,139,11,108,2,26,67,0,11,41,3,0
55,8,116,157,9,149,8,13,40,0,12,31,2,0
57,9,133,119,8,130,6,13,63,0,16,36,0,0
59,4,125,107,12,153,6,5,59,0,23,33,2,0
61,10,127,117,5,150,3,9,55,0,14,35,0,0
63,6,132,107,13,130,2,14,56,0,19,50,2,0
65,13,97,156,7,153,3,10,38,0,16,44,0,0
67,7,111,137,10,130,2,16,45,0,12,44,2.5,0
69,6,90,141,13,143,1,15,48,0,11,37,3,0
71,15,105,121,7,134,3,10,63,0,3,49,2,0
73,3,112,136,6,128,3,7,49,0,16,49,0,0
75,9,115,125,10,119,0,17,75,0,18,50,0,0
77,5,112,136,8,139,5,5,57,0,8,50,2,0
79,9,102,131,11,119,8,14,65,0,16,38,2,0
81,11,113,110,2,120,0,12,74,0,11,58,2,0
83,5,127,149,8,113,3,10,48,0,18,52,2,0
85,14,119,140,12,115,5,11,53,0,18,41,2,0
87,5,98,143,6,138,2,12,66,0,15,34,2,0
89,2,87,145,0,149,3,11,53,1,17,63,2,0
91,7,104,120,6,134,3,13,83,0,13,47,6,0
93,11,101,111,5,165,5,5,69,0,6,56,0,0
95,9,91,138,6,156,5,5,75,0,8,54,0,0
97,6,114,85,6,152,3,20,72,0,11,56,1,0
99,8,94,107,1,150,5,10,74,0,10,43,2,0
101,17,95,142,10,135,3,16,66,0,6,58,0,0
103,9,84,137,8,165,6,11,50,0,13,38,4,0
105,7,114,133,5,115,0,12,69,0,13,49,0,0
107,5,99,133,2,137,3,16,62,0,15,59,1,0
109,14,106,142,3,115,3,11,67,1,11,37,6,0
111,6,112,138,8,139,3,14,86,1,13,39,1,2
113,7,110,131,10,128,2,9,70,1,9,40,2,0
115,20,98,117,6,134,3,9,59,0,25,39,2.5,0
117,11,94,154,5,130,0,4,82,0,8,44,2,0
119,18,101,113,8,134,5,20,75,0,12,52,2,0
121,8,122,126,8,138,2,11,50,0,18,49,1,0
