"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
0,20,23,121,3,12,15,11,190,0,32,99,2,1
1,11,15,101,6,7,12,14,199,0,38,124,2,0
2,15,9,155,10,10,17,13,175,0,28,92.5,2,1
3,24,11,103,10,8,8,14,235,0,36,90,1,0
4,18,11,140,13,6,10,21,214,0,37,65,2.5,0
5,9,12,159,11,11,12,14,189,1,27,87,1,0
6,14,12,114,10,14,15,21,250,0,36,63,5,1
7,14,17,139,14,15,14,13,167,0,34,92,3,0
8,8,31,139,17,13,9,29,186,0,32,64,3,0
9,14,22,101,25,12,12,11,201,0,26,91,2,1
10,5,12,114,23,21,11,8,215,1,26,89,0,1
11,8,33,103,28,20,15,12,219,0,26,69,3,1
12,9,19,109,39,19,16,6,211,0,43,64,3,1
13,6,18,77,21,23,9,12,269,0,36,72,4,0
14,10,24,93,16,30,8,14,256,0,33,60,3,1
16,7,25,83,13,36,12,5,250,0,29,88,3.5,1
18,7,18,89,25,22,18,6,229,0,42,80,0,1
20,7,25,74,12,22,13,9,273,0,40,56,5.5,1
22.5,9,18,78,21,24,12,11,258,1,45,80,3,1
24.5,10,21,83,20,16,14,9,272,0,29,61,5,1
26.5,17,24,94,13,13,11,11,272,0,19,57,10,1
28.5,9,20,111,16,18,15,14,280,0,33,50,6,0
30.5,8,22,97,20,15,10,10,260,0,27,54,0,1
32.5,9,17,90,16,19,5,10,250,0,35,68,6,1
34.5,8,13,76,24,13,7,11,291,0,30,52,3,1
36.5,10,21,117,24,16,15,2,267,0,31,33,3,1
38.5,8,17,86,18,16,11,8,289,0,36,61,5,1
40.5,2,35,87,15,32,14,9,263,0,34,51,4,1
42.5,10,20,87,12,31,8,12,251,0,24,64,6,0
44.5,7,30,79,16,26,11,12,271,0,38,54,5,0
46.5,8,29,64,27,32,8,18,253,0,21,61,3,0
48.5,7,31,83,15,24,18,16,238,0,41,67,4,0
50.5,15,14,88,7,25,25,11,258,0,66,67,4,0
52.5,13,23,82,21,29,10,10,239,0,26,69,2,2
54.5,10,39,47,20,38,21,16,212,0,27,48,7,2
56.5,8,28,71,8,43,12,9,272,0,26,44,1,1
58.5,14,24,86,8,34,13,13,271,0,28,50,3,2
60.5,6,38,105,11,25,14,16,255,1,34,47,4,1
62.5,8,43,89,9,29,14,9,240,0,19,39,2,1
64.5,8,14,67,9,34,16,16,268,1,28,46,3,1
66.5,11,21,87,9,44,13,14,263,1,39,37,4,1
68.5,8,39,70,19,23,9,14,291,0,44,63,4,0
70.5,7,35,76,8,28,8,14,272,0,33,51,4,1
72.5,9,40,90,12,41,13,18,254,0,35,36,2,1
74.5,10,52,73,3,26,12,9,299,1,34,34,1,1
76.5,7,51,87,19,29,10,12,252,0,21,50,1,0
78.5,13,37,73,8,34,19,10,268,0,31,39,1,0
80.5,9,36,68,18,35,10,7,273,0,30,42,4,1
82.5,10,35,82,9,33,8,10,254,0,32,43,2,0
84.5,9,38,72,14,47,6,7,260,0,24,50,3,0
86.5,13,31,83,6,36,10,13,266,0,30,43,2,0
88.5,13,43,82,6,47,9,6,249,0,26,44,4,1
90.5,13,51,88,2,39,15,10,246,0,23,38,5,0
