"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce"
1,0,26,86,2,5,3,27,288,0,12,61,0
3,0,17,90,3,5,2,31,278,0,19,74,4
5,0,23,100,10,18,8,17,245,0,22,72,4
7,0,26,130,10,26,9,14,200,1,27,99,5
9,0,30,117,10,26,11,15,190,0,28,86,4
11,0,32,101,24,21,8,19,185,1,12,100,8
13,0,26,90,17,28,5,14,200,0,25,124,9
15,0,46,80,29,26,10,15,146,0,11,137,5
17,0,43,86,30,27,6,17,152,1,15,124,6
19,8,34,110,17,26,9,14,170,1,24,107,6
21,0,35,92,29,35,8,17,179,0,13,120,8
23,4,24,80,46,38,8,18,141,0,37,140,11
25,0,17,76,20,21,8,6,196,0,17,132,6
27,7,46,106,24,43,15,11,145,0,20,118,3
29,0,35,92,14,29,6,7,194,0,10,139,5
31,0,21,78,32,27,12,15,159,1,20,144,8
33,0,29,82,24,27,4,4,205,0,22,103,8
35,0,24,72,20,38,6,14,192,0,15,122,9
37,0,30,57,11,33,1,7,197,1,20,137,9
39,0,24,80,16,49,1,7,202,0,17,117,10
41,0,32,69,17,45,5,11,169,0,16,131,4
43,0,33,96,16,47,7,2,156,0,19,139,10
45,0,15,102,31,29,12,15,176,0,25,114,11
47,0,21,64,8,44,6,13,183,0,24,137,6
49,0,30,62,11,44,7,13,207,0,21,133,3
51,0,40,66,11,55,11,11,179,1,19,126,5
53,0,30,77,13,58,6,11,170,1,24,110,16
55,0,50,84,9,47,9,17,168,0,22,107,11
57,0,32,80,12,37,9,19,171,0,13,127,8
59,0,40,54,17,57,11,14,207,1,8,97,6
61,9,50,70,14,73,9,11,187,0,17,132,3
63,16,41,89,5,46,9,8,167,0,18,131,12
65,16,60,62,5,52,11,11,162,1,23,113,14
67,0,50,73,18,41,8,16,168,1,20,104,9
69,8,60,106,9,61,11,23,181,0,17,82,8
71,18,64,63,9,61,11,18,180,1,18,122,8
73,15,54,96,14,66,6,11,161,0,16,104,6
75,0,64,67,12,57,5,18,181,0,9,104,3
77,7,86,87,2,58,3,6,200,1,17,97,5
79,6,73,84,13,44,5,10,196,0,20,73,5
83,0,58,74,29,53,5,8,187,0,17,74,13
