"depths","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce"
0,1,17,0,1,5,38,147,0,17,17,0
5,1,11,16,0,2,3,115,0,10,6,0
10,5,3,49,4,5,1,111,1,7,14,1
15,4,9,54,1,9,3,165,0,8,14,0
20,10,11,57,5,11,4,181,0,4,11,0
25,5,12,40,5,12,2,195,0,6,10,0
30,6,6,32,5,16,2,201,0,7,9,0
35,3,10,44,1,12,2,193,0,4,17,1
40,8,14,1,8,5,3,200,2,17,12,0
45,2,10,3,8,10,1,213,0,22,12,1
50,12,16,2,14,3,0,187,2,20,17,2
52.5,4,31,0,3,1,1,65,8,21,122,13
55,2,21,1,4,0,2,86,4,18,102,13
57.5,1,41,0,1,1,0,29,6,21,119,21
60,1,22,0,0,0,0,19,9,20,129,15
70,1,24,0,0,1,0,14,13,19,124,14
80,1,20,0,0,1,0,26,9,18,141,16
90,1,22,1,0,1,0,36,13,20,123,11
100,0,19,1,0,1,0,23,13,15,136,27
110,1,15,0,0,0,0,21,8,14,152,15
120,0,19,0,0,0,0,23,20,24,127,24
130,2,21,0,0,0,0,22,10,21,109,24
135,2,18,0,0,1,1,24,12,21,115,48
140,0,10,0,0,0,0,16,1,13,39,88
145,0,18,0,0,0,0,27,4,17,63,78
150,0,22,0,0,2,0,31,8,23,85,62
155,0,17,0,0,0,0,16,7,18,55,104
160,0,16,0,0,0,0,4,0,3,40,145
170,0,6,0,0,0,0,5,0,2,43,151
180,0,11,0,0,0,0,8,0,8,42,135
190,0,10,0,0,0,0,6,0,6,42,159
200,0,7,0,0,0,0,9,0,6,40,159
210,0,11,0,0,0,0,6,0,5,42,167
220,1,18,0,0,1,0,4,1,5,44,135
230,0,19,0,0,0,0,11,0,4,29,155
235,0,29,0,0,2,0,4,3,2,40,151
240,0,54,0,0,0,0,5,0,7,45,107
245,0,61,0,0,0,0,5,3,0,46,76
252,0,56,0,0,1,0,8,1,4,65,47
255,0,75,0,0,0,0,4,0,4,37,22
265,0,35,0,0,0,0,0,0,7,25,34
275,0,28,0,0,0,0,1,0,2,26,46
285,0,25,0,0,0,0,1,2,5,28,43
295,1,21,0,0,0,0,2,2,0,21,38
305,0,26,0,0,0,0,1,4,5,40,54
315,0,21,0,0,0,0,2,1,2,48,50
325,0,25,0,0,0,0,2,2,8,39,28
345,0,43,0,0,0,0,1,5,10,49,43
365,0,40,0,0,1,0,2,1,10,47,23
385,0,39,0,0,0,0,1,2,6,57,40
405,0,25,0,0,0,0,5,0,5,58,49
415,0,43,0,0,0,0,1,1,2,90,42
