"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
965.5,0,19,118,0,12,0,7,18,1,22,77,33,1
974.5,0,19,177,2,10,0,2,1,0,34,68,37,1
984.5,0,26,138,3,30,1,3,10,0,12,103,45,0
994.5,0,31,129,0,33,0,4,18,0,26,140,32,1
1000,0,38,113,0,35,0,1,9,0,20,50,19,0
1004.5,0,29,122,0,28,0,4,13,0,10,103,13,0
1010,0,22,81,0,124,1,2,6,0,5,49,13,0
1020,0,46,136,0,44,0,4,20,0,16,75,10,0
1030,0,44,116,0,104,0,6,8,4,15,47,12,3
1040,0,47,182,0,100,0,11,13,0,7,86,2,0
1050,0,25,111,1,41,0,3,10,0,17,73,7,1
1060,0,41,130,0,24,0,8,18,0,13,66,2,0
1070,0,38,134,0,20,0,7,21,0,8,104,5,0
1080,0,34,155,1,17,1,6,23,1,11,51,2,0
1090,0,39,180,0,25,0,4,24,1,7,76,4,0
1100,1,26,116,0,21,0,4,10,0,5,78,6,0
1110,0,16,115,0,60,1,10,14,0,12,98,13,0
1120,0,7,80,1,89,0,7,15,0,11,95,2,0
1130,0,13,113,0,61,0,8,15,0,12,90,0,1
1140,0,8,120,0,81,0,6,9,0,11,94,1,0
1150,0,14,121,0,72,2,7,20,0,14,90,20,2
1160,0,4,72,0,110,0,2,21,0,7,83,1,1
1170,0,6,54,0,124,1,4,24,1,5,89,4,0
1180,0,4,75,0,20,2,2,26,0,34,144,5,0
1190,1,4,83,1,57,1,3,22,0,14,131,9,0
1200,0,2,73,0,50,2,5,30,0,27,127,3,0
1210,0,1,62,0,62,0,2,33,0,9,152,0,0
1220,0,3,58,0,40,0,5,40,0,14,203,6,0
1230,0,3,125,0,2,0,5,37,0,18,87,4,0
1240,0,0,121,0,8,0,5,45,0,28,84,5,0
1250,0,1,76,1,10,0,2,43,0,10,169,14,0
1260,0,0,73,0,6,1,2,45,0,26,171,5,0
1270,0,0,98,0,5,0,3,63,0,21,165,16,2
1280,0,1,113,0,2,0,2,39,3,25,142,9,0
1290,0,0,134,0,4,1,4,21,0,20,135,15,0
1300,3,0,94,0,3,0,5,17,0,9,200,2,0
1310,0,0,138,0,0,0,3,25,0,20,98,23,1
1320,0,0,158,0,0,0,0,20,0,65,9,5,1
1330,0,0,63,0,1,0,3,8,11,22,44,49,5
1340,0,0,145,0,0,0,1,1,9,23,23,39,0
1350,0,0,100,0,0,0,0,0,0,17,49,53,0
1360,0,0,207,0,0,0,0,6,9,24,35,61,0
1370,0,0,10,0,0,0,0,2,34,8,53,200,0
1375,0,0,33,0,0,1,0,3,0,5,21,239,0
1380,0,0,78,0,0,0,0,11,10,90,29,34,0
1385,0,0,116,0,0,0,0,1,0,10,46,15,0
1390,0,0,11,0,0,0,0,3,0,38,42,21,0
1395,0,0,9,0,0,0,0,0,0,1,20,9,0
1400,0,0,0,0,0,0,0,1,0,4,4,2,0
