"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
1,1,7,156,1,3,1,1,7,1,1,7.5,10,0
25,5,28,243,0,11,0,16,13,6,13,19.5,42,0
30,2,25,215,1,12,0,7,9,8.5,7,29.5,28,0
50,6,34,189,0,22,1,8,20,3.5,9,33,45,0
75,2,29,193,0,19,0,7,26,5.5,17,28,55.5,0
100,5,27,195,0,17,0,7,17,5,9,33.5,28.5,0
125,6,67,299,1,30,2,15,37,10,14,85.5,8,2
150,13,46,205,1,9,0,6,24,6,5,34.5,1.5,0
175,8,46,206,0,13,1,6,27,4.5,15,66.5,1,0
200,9,44,252,0,15,2,20,38,3,14,72.5,0,0
210,7,40,162,0,43,1,7,20,2,8,37,0,0
215,9,32,197,0,55,0,12,38,1.5,17,46.5,0.5,0
220,7,35,180,0,40,0,9,12,1.5,14,43.5,1,0
225,6,27,203,1,50,0,11,26,1,9,57,1.5,1
250,9,6,124,0,44,0,7,57,2.5,11,87.5,1,0
275,2,2,129,0,15,0,6,59,5,18,122.5,1.5,0
300,8,1,129,0,10,0,7,86,2,20,136.5,2.5,0
340,2,0,80,0,7,1,9,73,6.5,15,113.5,2.5,0
360,5,0,119,0,4,0,3,67,4,12,95,1,0
380,3,0,140,0,1,0,5,35,6,15,122,4,0
390,4,0,164,0,1,0,3,25,5.5,14,91.5,3.5,1
400,13,0,170,2,5,0,6,23,8,24,115,5.5,1
420,4,0,131,0,3,0,6,23,9.5,28,80.5,7,1
440,4,2,149,0,2,0,5,15,16.5,29,40,12.5,1
450,2,0,140,0,0,0,5,16,12.5,37,34.5,17,2
458,0,0,100,0,2,0,0,9,1,11,26.5,53,0
465,2,0,86,0,0,0,0,20,1.5,15,75.5,176.5,0
470,4,0,42,0,0,1,0,3,3.5,20,30.5,91,0
475,0,0,23,0,0,0,0,10,0,15,26,82,0
480,0,0,23,0,0,0,0,10,0,15,26,82,0
484,1,0,35,0,0,0,0,16,0,40,65.5,72.5,0
488,2,0,19,0,0,0,0,19,2.5,42,124,150.5,0
498,4,0,10,0,0,0,0,5,0.5,25,32,17,0
508,5,0,32,0,0,0,1,15,1.5,33,109.5,64,0
