"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
0,8,8,111,0,31.5,1,9,33,1.5,9,19,0,0
2,8,22,171,1,37.5,6,27,63,1,31,45.5,0.5,0
4,9,13,209,1,30,1,19,52,0,80,22.5,2.5,0
7,6,12,161,5,29.5,2,44,35,0,47,31.5,2,1
9,0,12,167,14,40,2,71,27,0,22,34.5,2.5,0
11,1,21,108,14,42.5,2,37,27,0.5,20,77.5,2,0
14,5,15,128,24,43.5,1,30,28,0,21,83.5,6,0
17,7,32,97,9,33.5,3,27,45,0.5,93,82,4.5,0
19,5,15,90,16,20,0,41,55,0,54,46,1,0
21,8,40,149,21,26.5,3,32,61,1,54,52,1.5,0
24,5,65,174,15,48.5,2,34,53,1,44,55,3,1
27,3,57,123,7,34.5,3,19,22,0,24,35,3,0
29,5,85,185,8,35,3,30,24,0,31,52.5,1.5,0
31,0,79,216,9,41.5,2,24,34,0.5,33,57,3,0
34,9,67,214,12,50.5,4,30,51,1,34,57.5,3,0
37,4,47,146,5,45,2,9,31,0,22,16.5,1,0
39,6,81,165,2,47,3,18,40,0.5,21,26.5,0,0
41,3,0,385,2,113,6,48,74,0,205,91,2.5,0
44,5,93,97,1,82.5,2,25,47,2,40,30,1.5,0
47,5,90,112,1,107,0,20,44,2.5,32,48.5,0,0
49,7,80,82,2,80.5,2,15,50,0,33,60.5,0.5,0
51.5,4,76,70,3,47.5,2,27,50,0,44,35,0,0
54,12,89,90,0,77.5,4,13,51,0,32,26.5,0,0
56.5,4,60,83,0,37,2,23,51,0.5,232,68,1,0
59,5,55,62,1,29,3,33,61,0.5,85,54,0,0
61.5,8,54,87,2,20.5,3,71,107,0,171,75,0,3
64,7,42,42,0,12.5,0,24,78,0,353,23,1,0
66.5,14,66,55,1,34,2,86,70,0,48,73.5,1,0
69,11,47,64,1,75.5,4,82,86,0,244,79,0.5,0
74,5,25,31,1,35,3,19,45,0,178,46,0.5,0
79,6,66,82,0,90,2,79,59,0,15,27,2,0
84,10,54,59,0,75,1,26,64,0,8,39.5,2.5,0
88,10,38,65,1,96,0,12,63,2,17,73,5,0
99,3,22,87,0,45.5,0,7,67,0,22,72,3.5,0
109,1,0,33,0,49.5,1,7,106,1,9,123.5,0,0
119,1,0,48,0,27,0,6,104,0,9,123,1,0
129,2,0,28,0,16.5,0,2,70,0,14,187.5,0,0
139,2,1,31,1,11.5,0,6,82,1,26,198,3.5,0
149,0,0,56,0,5,1,9,61,2.5,15,279,4.5,0
159,2,0,42,0,2,1,8,122,2.5,13,237,5,1
174,3,0,21,0,1,0,3,35,10,10,278,2,1
199,0,0,38,0,0,0,5,9,7.5,8,296,0.5,0
219,7,0,103,1,0,1,1,14,28,61,83.5,88.5,4
239,8,0,163,0,2,0,1,13,45.5,70,166.5,86,3
259,2,0,63,0,2.5,1,0,6,37.5,45,80,167.5,8
278,3,0,60,0,0.5,0,0,9,38,27,72.5,107,0
299,0,0,50,0,1,0,1,13,27.5,27,56,134.5,2
319,1,0,56,0,0,0,0,1,46,17,61,113.5,0
339,6,1,39,0,0,1,0,17,11,24,37.5,206,0
359,3,0,31,0,0,0,0,17,13,30,41.5,219.5,0
374,3,0,41,0,0,0,0,20,5.5,35,42.5,225,0
399,4,0,29,0,0,0,0,15,3,25,29.5,235.5,1
419,0,0,18,0,0,1,0,17,2.5,27,25,241,1
439,10,0,36,0,0,2,0,17,2,30,33.5,194,0
459,5,0,27,0,0,2,0,22,1,113,36.5,17.5,1
474,2,0,16,0,0,1,0,10,0,53,35,15,6
479,1,0,18,0,0,0,0,12,0,46,45.5,21.5,0
499,0,0,5,0,0,0,0,0,0.5,6,1.5,6.5,0
510,0,0,4,0,0,0,0,0,0.5,1,4,13.5,0
