"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
5.5,3,6,40,3,14,4,6,88,0,8,86,4,2
10.5,1,9,25,4,21,0,9,98,0,8,90,1,0
32,2,9,40,2,13,8,4,109,0,19,67,2,0
50.5,3,16,17,1,9,1,7,75,0,23,36,0,0
122,2,8,19,0,6,3,2,81,0,19,32,3,0
150.5,2,12,19,1,3,4,5,88,0,15,14,0,0
160,2,17,11,1,3,0,5,85,0,24,14,1,1
209,4,16,8,0,2,1,7,85,0,22,12,1,1
221,8,16,15,0,3,1,11,57,0,11,16,0,3
233,3,18,7,0,6,0,4,86,0,17,9,0,0
240,2,29,12,1,7,2,5,123,0,20,22,0,0
254,2,14,14,0,15,0,4,122,1,42,28,1,0
280,1,7,9,0,5,2,1,50,0,17,21,1,0
290,3,15,17,0,10,0,6,107,0,26,42,0,0
310,4,4,19,0,10,0,4,130,0,33,41,0,1
330,6,13,20,2,10,0,7,145,0,60,45,0,1
340.5,2,8,18,0,9,1,5,129,0,38,46,0,0
351,0,1,20,0,20,0,0,40,0,10,314,0,0
360,3,1,25,1,26,0,0,53,0,7,291,1,0
370.5,3,1,66,1,21,0,2,53,0,34,212,1,0
380.5,0,0,29,0,4,0,2,51,0,30,191,0,0
394.5,0,1,78,1,6,1,5,56,1,25,218,4,1
405.5,2,0,37,0,1,0,2,21,2,14,235,2,0
417,2,2,63,0,5,0,1,28,4,21,273,21,0
425,2,1,59,0,1,1,0,14,1,26,188,17,1
430,2,1,76,0,0,0,2,15,10,49,148,22,5
440,8,0,34,0,7,1,1,23,10,63,101,79,1
452.5,6,0,45,0,7,0,3,16,5,36,107,154,0
472.5,0,0,41,0,4,0,0,4,18,25,70,238,0
480,0,0,18,0,1,0,0,5,10,18,65,277,1
492.5,0,1,9,0,4,0,0,6,14,11,97,269,1
512.5,6,4,12,0,0,0,0,16,10,21,209,133,0
530,5,2,16,0,0,1,0,22,15,9,108,219,0
542.5,7,3,13,0,0,1,0,22,23,16,91,223,0
570.5,4,1,10,0,0,0,0,16,4,23,61,178,1
612.5,4,0,8,0,0,0,0,11,5,11,43,228,0
632.5,8,0,25,0,0,0,0,18,1,21,55,174,0
670.5,5,0,16,0,0,1,0,13,1,11,33,193,0
722.5,2,0,19,0,0,0,0,7,0,28,24,231,0
792,7,0,61,0,0,0,0,3,1,41,13,127,0
