"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.hardwood","Pine","Spruce","Tamarack"
1,6,1,37,0,6,1,5,92,7,154,0,0
11,1,5,50,3,6,2,3,56,10,50.5,2.5,0
21,1,8,11,0,12,0,5,59,8,47,2,0
25,2,8,19,0,8,6,3,81,13,67,0,0
29,1,7,17,0,8,6,4,122,8,35,0,0
33,1,14,41,1,8,4,4,126,31,28,1,0
37,1,11,34,0,7,3,1,120,28,42,0,0
41,3,26,16,0,4.5,2,5,111,21,55,0.5,0
45,2,16,58,1,14,8,6,179,31,43,1,0
48,8,11,41,1,19,2,6,137,27,67,2,0
110,0,4,14,0,5,1,3,106,18,26,1,1
130,0,15,20,0,8,3,2,90,10,35.5,1,0
150,5,49,21,3,33,2,12,157,48,65,1,0
