"depths","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
663,66,427,1,114,1,7,40,15.5,18,190,95,9
667,77,489,1,112,2,15,46,13.5,26,196,80,11
671,82,433,0,107,3,4,49,15,28,193.5,82,6
675,72,442,0,104,0,12,35,14,26,162,69,4
679,90,431,0,82,0,16,46,6,16,156.5,69,1
683,79,406,0,101,0,12,34,10.5,18,129,78,1
688,88,393,0,112,0,6,27,9,15,149,83.5,1
692,121,406,0,121,1,7,34,12.5,19,137,87,4
696,123,365,0,171,0,5,42,4,21,158.5,77,5
700,109,344,0,177,0,7,29,11.5,20,165.5,66.5,9
705,120,365,0,179,0,5,30,6,14,186.5,81,6
709,108,300,0,185,0,12,34,8,16,192.5,95.5,6
714,110,337,1,159,1,6,39,5,20,172.5,81,4
718,151,452,0,180,1,12,41,18.5,15,214,130.5,7
726,116,367,0,151,0,15,33,8.5,18,214,102.5,11
732,103,433,0,136,0,7,34,10,16,238,106.5,11
736,117,448,0,156,1,8,56,14.5,29,214,89,6
740,127,426,0,186,1,5,47,14,12,298,122.5,10
744,216,701,1,249,1,14,59,11.5,28,421,162,9
748,85,455,0,159,2,6,39,10,14,144,99,5
752,117,415,0,182,0,16,52,4.5,18,197,86.5,6
754,145,327,0,257,0,10,44,3.5,13,167.5,59.5,2
758,143,388,0,223,1,4,32,7.5,13,159.5,107,7
762,95,441,0,176,1,10,37,9.5,16,150,106,9
766,133,478,0,198,1,19,35,4.5,18,175,81,10
770,119,438,0,175,1,10,39,7,18,180.5,89,4
774,172,542,0,280,1,12,51,13.5,22,257,131.5,12
778,121,389,0,169,1,8,42,16.5,20,155.5,87,10
782,202,407,0,258,1,6,36,10,19,173.5,100.5,6
786,141,315,0,227,1,13,33,4,9,127.5,89.5,3
790,159,383,0,229,0,5,24,10,20,138.5,72.5,10
794,149,305,0,353,0,6,37,2,8,147.5,18.5,7
798,203,346,0,335,0,6,32,5.5,15,182,25.5,5
802,207,480,0,284,2,19,44,6,24,263,18.5,6
806,143,372,0,212,1,10,31,3,17,176,17.5,7
810,161,365,0,223,0,11,39,3,16,186,20,5
814,222,437,0,207,0,2,34,4.5,22,304.5,8,6
818,165,362,0,146,0,7,35,4.5,12,274.5,9.5,2
822,160,404,0,142,2,9,48,5,14,295,12,2
826,154,444,0,110,1,5,54,2,21,230.5,5,2
830,234,525,0,159,3,10,48,4.5,15,388.5,19.5,2
834,152,401,0,160,0,7,46,6,22,222,39.5,6
838,190,472,0,303,4,7,39,4.5,23,206.5,66,3
842,127,364,0,248,0,9,43,3,9,132,27.5,1
846,171,348,0,138,0,12,70,3,19,360,8.5,4
850,123,380,0,166,0,5,52,0,16,314.5,17,0
858,168,426,0,151,0,3,54,4.5,10,334.5,14.5,0
862,173,413,0,126,1,7,58,3,17,326,6.5,3
866,162,357,0,76,0,4,62,2.5,18,295,3.5,1
870,137,374,0,69,2,11,76,4,25,247,9,3
874,156,355,0,111,1,6,42,3,8,288.5,17,0
878,143,414,0,116,1,5,55,2.5,14,340,13,2
