"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.hardwood","Pine","Spruce"
1,5,7,41,1,7,7,9,134,25,26,0
5,4,4,33,3,5,7,2,127,32,19,2
9,5,8,20,1,2,11,2,101,29,24,2
13,7,11,21,1,4,7,5,127,24,19,5
17,5,7,38,3,8,0,2,115,23,11,0
21,5,8,35,2,2,6,3,89,21,19,3
25,5,7,36,7,4,2,2,72,31,8,2
29,6,1,32,1,2,2,4,75,29,13,2
33,4,5,42,4,1,4,1,68,29,10,1
37,4,4,31,3,1,3,0,83,27,14,1
41,1,1,35,9,0,2,6,74,28,12,1
45,2,2,28,3,1,2,2,57,41,13,0
49,2,5,27,2,2,2,2,64,21,10,2
53,3,5,33,10,1,1,3,57,27,12,3
57,4,2,36,11,2,6,2,84,37,12,4
61,2,4,27,7,2,2,2,62,29,11,1
65,2,9,32,5,2,7,1,62,27,24,1
69,2,2,34,15,3,3,0,62,28,14,3
73,1,12,26,5,1,4,1,62,28,16,0
77,1,4,19,10,5,1,1,64,38,18,5
81,4,4,23,18,6,4,1,77,21,19,2
83,3,5,24,10,8,5,1,69,29,17,2
89,2,3,42,8,10,9,5,107,27,23,2
93,4,5,43,6,6,6,2,147,37,24,3
97,2,13,32,4,10,7,0,164,42,20,3
101,5,8,32,7,5,9,3,175,30,20,1
105,2,5,24,11,10,12,8,161,43,15,4
109,4,7,29,2,11,6,8,158,29,13,3
113,2,8,28,6,5,19,2,177,31,19,1
117,8,12,25,1,12,14,3,165,24,16,2
121,5,13,26,8,17,12,6,159,26,12,0
125,3,11,35,5,10,10,5,156,25,10,2
129,2,15,31,1,10,9,2,158,36,13,1
133,1,11,29,0,10,22,3,168,35,10,1
137,3,14,35,1,17,8,8,181,35,10,1
141,5,12,28,1,12,16,2,176,34,19,2
145,2,12,25,1,15,16,1,183,28,15,0
149,4,19,32,4,12,9,1,184,31,10,0
153,4,14,48,1,15,19,4,212,30,15,1
157,5,17,20,2,14,13,4,179,26,19,1
161,7,21,26,2,12,13,4,172,23,14,2
165,7,15,37,0,14,5,4,198,20,11,0
169,3,13,32,1,14,8,5,196,12,16,1
173,1,23,32,1,9,11,2,189,21,16,0
177,4,18,26,0,6,10,5,166,25,18,1
181,7,16,27,0,16,11,4,173,29,26,1
189,8,21,19,1,8,14,4,189,15,15,0
197,2,0,23,0,13,22,3,159,20,24,2
205,2,14,13,1,10,6,3,199,22,16,1
213,4,15,21,0,11,5,6,173,45,11,1
221,12,16,20,0,8,8,5,191,25,12,0
