"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
10,1,16,80,60,14,8,7,146,0,38,32,3,0
50,0,33,72,66,27,20,2,174,0,40,43,2,0
85,2,32,59,87,30,16,0,148,0,21,30,2,0
110,0,39,88,112,27,26,3,191,0,32,56,2,0
140,0,18,62,61,11,17,3,177,0,23,22,3,0
190,1,39,91,52,20,14,2,96,0,39,34,1,0
210,0,29,72,82,19,17,3,153,0,33,29,2,0
250,0,30,59,64,8,16,1,166,0,36,36,0,0
290,0,34,34,32,20,19,3,174,0,29,21,0,0
310,0,38,41,3,18,33,3,189,1,34,37,1,0
350,1,26,48,10,7,23,7,239,0,30,25,1,0
390,0,32,33,0,6,22,0,214,0,52,25,0,0
410,2,26,28,1,4,34,4,210,0,44,25,0,0
450,1,33,48,5,6,22,1,214,0,44,17,0,0
470,0,41,54,1,14,18,2,216,1,62,16,1,1
490,0,48,38,5,44,14,2,218,1,55,27,1,0
510,3,51,52,2,51,11,3,243,0,40,20,1,0
550,2,66,37,1,63,18,5,223,0,62,22,1,1
590,0,66,60,1,42,5,2,162,0,53,26,1,0
610,1,100,67,1,119,10,2,107,0,60,18,1,0
650,4,146,76,1,113,13,6,195,1,70,17,0,0
690,0,93,53,5,82,5,0,176,0,63,14,0,0
710,0,53,59,0,83,2,1,130,0,41,14,0,0
750,0,54,30,2,69,4,4,139,0,47,44,1,1
790,0,37,27,0,52,0,1,215,1,51,66,1,1
810,0,55,45,1,114,1,7,308,0,73,83,1,6
850,0,22,11,1,52,1,1,240,1,50,81,4,0
890,0,10,29,0,15,1,3,172,0,29,59,2,6
910,0,9,20,1,24,1,0,125,2,30,59,1,0
950,0,0,31,2,28,1,1,199,0,43,139,5,0
980,0,2,25,1,49,0,3,99,1,52,138,6,2
1010,0,0,21,0,66,2,3,135,3,31,234,4,0
1050,0,0,14,1,36,1,1,96,3,45,224,8,0
1090,0,0,34,0,40,0,1,169,13,36,436,25,0
1110,0,0,49,1,9,0,2,190,13,86,434,44,2
1130,0,1,47,0,0,3,4,75,12,38,274,5,0
1150,0,0,60,0,1,0,0,10,15,107,80,98,6
1185,0,0,12,0,0,0,0,11,3,31,42,48,0
1215,0,0,14,2,0,0,0,24,11,23,25,189,0
1225,0,0,19,1,0,0,0,8,0,33,51,33,0
1240,1,0,3,0,0,0,1,8,0,19,21,11,0
1255,0,0,5,0,0,0,1,4,1,41,108,20,0
1270,0,0,0,0,0,0,0,0,0,19,55,10,0
1290,0,0,0,0,0,0,0,1,0,9,57,20,0
1310,0,0,2,0,0,0,0,2,0,6,138,24,0
1350,0,0,1,0,0,0,0,3,1,20,119,21,0
1390,0,0,1,0,0,0,0,0,0,3,23,1,0
1410,0,0,0,0,0,0,0,0,1,2,70,21,0
1450,0,0,0,0,0,0,0,0,0,0,1,0,0
1490,0,0,0,0,0,0,0,0,0,2,2,0,0
