"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
0,5,27,197,0,46,1,1,55,6,51,90,7,1
20,5,51,245,3,51,2,0,56,1,77,118,109,0
40,4,26,103,0,36,1,3,25,0,11,33,26,0
60,15,77,157,0,113,0,11,45,0,40,124,28,0
82.5,3,53,113,0,82,1,6,28,3,8,23,5,1
140,9,71,156,0,123,1,14,16,0,24,86,2,1
175,13,59,205,1,83,3,13,48,2,12,97,2,0
220,23,69,104,0,39,2,17,65,0,18,178,6,0
260,45,125,473,1,66,3,37,137,1,57,324,12,0
300,13,51,223,0,79,3,12,30,1,18,139,6,0
340,10,30,148,0,91,0,12,40,2,17,213,4,0
390,6,4,87,1,143,0,2,20,0,6,91,0,0
420,9,14,109,0,46,0,10,54,0,14,172,6,0
460,8,3,80,1,151,0,8,51,0,9,241,15,2
500,6,0,61,0,10,0,0,27,2,11,114,2,0
520,1,1,64,0,9,0,0,65,0,15,162,5,0
540,7,0,123,0,3,0,2,78,1,22,278,8,0
560,3,1,103,0,2,0,1,20,1,13,193,11,7
580,3,0,111,0,0,1,1,14,1,21,51,34,5
600,2,0,67,0,1,1,0,7,4,43,58,82,0
605,0,0,80,0,3,0,0,4,5,38,73,66,0
610,0,0,61,0,4,1,0,7,3,44,38,59,1
615,0,1,65,0,1,0,0,4,0,27,38,36,1
620,1,0,24,0,0,1,1,4,0,17,42,48,0
625,0,0,64,0,0,0,0,1,1,21,27,36,0
630,1,0,28,0,1,0,0,2,2,13,60,99,1
635,0,1,38,0,0,1,2,6,0,26,41,57,0
640,0,0,8,0,0,0,2,4,4,20,37,139,0
645,0,0,8,0,0,0,0,3,1,13,46,83,0
650,0,0,1,0,0,0,3,4,4,12,51,101,0
655,0,0,6,0,0,3,5,15,2,13,44,135,0
658,0,0,6,0,1,0,1,6,5,5,54,221,0
665,0,0,29,0,0,0,0,2,3,6,41,37,1
700,5,0,19,0,2,0,4,14,1,9,30,25,4
