"depths","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
0,71,120,1,58,2,4,44,0,29,32,8,0
10,129,140,10,101,12,4,61,1,49,28,17,0
20,86,95,11,57,4,1,51,0,22,24,0,0
29,93,108,7,80,5,3,51,0,29,29,3,0
40,188,186,8,114,14,3,116,0,55,62,2,0
50,82,89,4,48,6,3,64,0,22,22,4,0
60,156,135,4,66,8,3,99,2,39,46,3,0
70,53,46,1,11,4,0,61,1,11,16,3,0
80,176,165,5,27,14,7,129,1,67,55,2,1
85,205,190,1,23,8,25,189,0,75,66,0,1
101,65,66,1,10,7,5,57,0,23,21,0,0
110,111,107,0,14,10,2,53,0,33,16,1,0
120,79,109,1,37,3,3,56,0,22,18,2,0
125,136,184,0,141,10,1,86,0,32,28,0,0
130,94,100,0,158,2,2,60,0,32,18,2,0
140,75,57,0,126,5,2,37,0,15,16,1,0
150,222,216,3,359,15,13,160,0,76,41,2,0
160,108,95,0,154,3,3,47,0,25,16,1,0
170,121,113,0,215,5,5,72,0,35,26,2,0
180,67,67,0,111,4,2,51,0,36,15,0,0
190,103,130,0,182,1,1,104,0,48,36,1,0
200,137,279,1,268,4,9,157,0,51,121,2,0
210,29,117,0,106,0,1,116,0,32,71,0,0
220,4,31,1,114,2,3,136,0,50,89,1,0
223,3,35,1,51,0,2,229,1,43,110,1,0
225,6,40,1,29,2,1,192,0,43,86,0,0
228,2,68,1,156,2,7,358,1,101,275,1,1
230,5,45,1,130,0,10,200,0,57,214,6,0
240,4,40,0,183,0,4,218,1,69,244,6,0
250,6,107,0,432,4,9,551,3,113,575,12,0
260,0,38,1,137,0,6,232,2,52,238,5,0
270,3,65,2,150,3,4,316,2,85,388,7,0
280,1,64,1,134,4,4,331,3,79,422,8,0
290,1,69,0,88,0,10,304,4,87,473,12,0
300,0,82,0,78,2,9,367,9,89,644,15,0
310,0,97,1,30,1,6,502,13,162,763,22,0
320,0,116,0,35,1,2,549,7,173,677,24,0
330,1,147,1,37,5,7,688,12,167,842,31,1
340,1,162,2,32,0,5,581,26,171,1012,31,0
350,4,130,0,11,2,10,334,30,78,678,25,0
360,1,284,0,12,4,18,275,38,164,864,25,9
370,2,242,1,11,2,15,139,33,92,590,40,2
375,2,252,2,9,0,3,111,35,91,452,41,6
380,6,359,1,8,1,4,106,34,109,361,48,4
389,1,265,0,5,0,1,91,54,101,365,60,4
400,0,113,1,3,0,2,42,33,90,213,91,15
410,0,195,0,12,1,2,46,31,123,243,95,15
420,0,112,0,7,1,1,30,22,59,142,77,13
425,0,103,0,8,0,2,26,15,92,131,96,7
440,0,167,0,11,1,0,25,54,116,148,166,6
450,0,117,1,4,0,0,36,45,138,129,194,9
460,0,41,1,1,1,1,46,37,95,142,175,2
470,0,13,0,0,0,0,20,4,46,57,130,0
475,0,13,0,0,0,0,11,1,17,35,42,1
480,0,3,0,0,0,0,6,0,16,32,12,0
