"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
1,12,23,194,3,51,10,11,150,0,37,71,6,0
5,0,27,192,7,45,13,3,157,2,19,46,3,0
8.5,6,29,237,4,62,8,8,182,1,26,79,7,0
11,0,26,216,10,43,11,9,136,1,30,59,7,0
15,7,28,195,6,54,12,11,158,3,38,60,4,0
19,2,28,185,11,58,11,16,114,0,28,56,4,0
21,6,36,196,0,59,2,12,134,3,34,83,9,0
25,1,33,168,25,51,8,13,111,1,29,72,12,0
29,7,36,176,9,47,13,16,110,1,30,73,8,1
32.5,1,32,167,25,52,6,8,103,0,28,74,6,0
33.5,12,37,177,11,49,14,14,147,0,32,84,9,0
35.5,1,19,159,19,56,9,11,115,1,33,59,13,0
37.5,14,23,116,3,47,10,8,108,0,28,88,7,3
41.5,2,36,166,13,59,7,7,137,0,32,84,8,1
42.5,7,50,169,19,45,13,18,108,5,17,107,11,0
44.5,13,39,144,10,39,8,14,95,0,37,80,8,2
47.5,8,38,127,11,49,5,8,139,2,29,93,10,1
49.5,5,51,123,11,64,10,12,127,1,18,135,13,0
51.5,3,39,113,14,78,6,8,123,3,27,95,11,0
56,13,53,123,15,76,13,8,128,2,23,131,8,0
59.5,8,37,100,27,56,3,15,116,0,32,88,8,0
61.5,18,33,93,15,58,3,12,88,4,25,106,8,1
64.5,10,49,132,14,68,8,19,133,3,34,109,12,1
67.5,1,35,113,27,66,14,7,126,0,21,89,10,0
69.5,11,37,98,8,63,6,12,143,1,39,109,10,0
72.5,8,34,118,5,65,7,18,123,4,22,125,4,0
75.5,1,55,116,23,81,5,7,106,0,35,106,8,0
77.5,7,38,102,5,67,15,13,128,1,22,114,10,0
80.5,8,48,123,22,59,9,19,140,1,20,118,12,0
84.5,18,45,116,8,55,3,19,152,1,29,91,15,0
87.5,2,34,130,26,79,4,3,129,1,30,76,14,0
89.5,2,55,138,26,75,7,16,165,1,26,123,15,0
91.5,6,56,103,10,78,8,15,149,3,28,105,13,1
94.5,15,34,107,17,73,6,8,128,0,16,103,5,0
96.5,3,43,112,10,59,10,12,134,3,29,87,7,0
98.5,5,51,107,4,49,5,12,157,1,15,103,5,0
100.5,2,40,109,20,72,8,8,125,0,12,88,6,0
102.5,2,47,113,16,81,5,6,152,0,25,75,4,0
105.5,16,61,99,3,71,10,9,162,0,22,110,11,0
107.5,12,53,116,15,82,10,18,141,1,25,108,10,0
112.5,14,44,113,13,64,8,12,124,2,26,119,9,0
114.5,12,49,112,12,64,3,18,167,4,36,96,6,0
116.5,12,40,103,15,58,5,8,169,0,18,118,8,0
118.5,12,60,120,19,73,9,8,152,0,32,104,7,0
121.5,8,79,166,4,100,23,23,236,3,38,158,12,0
123.5,6,92,118,4,120,13,15,184,2,24,136,11,0
126.5,11,72,113,6,93,15,16,139,2,21,134,7,0
129.5,11,65,115,1,88,11,13,134,1,22,117,8,0
132.5,4,63,122,7,88,15,8,142,2,19,118,14,0
134.5,1,48,96,5,85,12,8,139,0,24,76,9,0
136.5,4,56,115,4,77,15,7,151,0,21,88,13,0
138.5,0,56,117,2,95,11,12,120,0,14,93,8,0
140.5,6,50,108,6,75,9,20,139,0,19,63,10,0
142.5,6,54,114,13,86,10,14,160,2,33,49,3,0
144.5,4,49,125,10,80,9,12,148,0,22,59,11,0
391.5,4,66,131,8,76,9,11,147,0,18,87,5,1
393.5,4,61,123,13,82,10,15,132,0,30,100,9,2
397.5,6,71,128,8,81,10,15,151,0,21,97,8,1
