"depths","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce"
20,1,6,0,1,3,0,237,0,5,38,0
25,0,54,0,3,3,4,165,0,7,54,0
30,2,35,9,6,9,1,122,0,25,45,0
35,5,30,9,9,10,0,117,0,34,66,0
40,3,17,15,11,5,0,126,0,31,78,0
50,9,15,25,6,7,2,115,0,47,51,0
55,5,13,15,1,7,1,130,0,28,60,0
60,6,13,27,2,7,0,111,0,18,53,0
65,10,12,27,3,6,0,129,0,48,46,0
70,4,5,32,8,2,1,116,0,45,39,1
80,4,9,39,15,0,1,92,1,63,37,1
90,6,4,29,18,4,1,106,0,61,20,0
100,7,3,29,16,2,4,103,0,74,22,1
105,6,6,31,22,2,1,95,2,60,28,2
107.5,2,9,0,2,1,0,16,11,14,112,27
110,0,14,0,1,0,0,12,8,10,91,28
115,1,8,0,0,0,0,7,7,20,87,39
120,1,8,0,1,0,0,18,3,11,65,65
125,1,8,0,2,1,0,15,7,5,66,43
130,0,10,0,0,0,0,6,3,6,28,70
140,0,4,0,0,0,0,6,0,3,25,93
